created_at,favorite_count,hashtags,id,in_reply_to_status_id,in_reply_to_user_id_str,reply_count,retweet_count,source,user_id_str,user_followers_count,user_friends_count,user_created_at,extracted_source
Mon Apr 20 20:21:05 +0000 2020,8457,[],1252331476059906048,,,5724,2089,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",2946599260,727,552,Sun Dec 28 22:06:05 +0000 2014,Twitter for iPhone
Mon Apr 20 20:21:07 +0000 2020,4647,[],1252331482741440512,,,827,1315,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",1027288191223717889,13272,11853,Wed Aug 08 20:19:25 +0000 2018,Twitter for Android
Mon Apr 20 20:21:09 +0000 2020,1924,[],1252331490261770240,,,8394,3963,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",1065306935442980864,7,138,Wed Nov 21 18:12:20 +0000 2018,Twitter Web App
Mon Apr 20 20:21:11 +0000 2020,4644,[],1252331500428840960,1252331288889036800,925004628521111552,5220,3383,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",925004628521111552,685,998,Mon Oct 30 14:21:03 +0000 2017,Twitter for Android
Mon Apr 20 20:21:18 +0000 2020,4431,[],1252331529117851648,,,4089,7126,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",899011754553987072,11,160,Sat Aug 19 20:54:39 +0000 2017,Twitter for Android
Mon Apr 20 20:21:21 +0000 2020,3352,[],1252331542149545984,,,5134,6909,"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>",726161001742217217,1602,4305,Fri Apr 29 21:27:29 +0000 2016,Twitter for iPad
Mon Apr 20 20:21:21 +0000 2020,1192,[],1252331543416180744,,,8913,7786,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",1207743430442520579,58,65,Thu Dec 19 19:24:23 +0000 2019,Twitter for Android
Mon Apr 20 20:21:22 +0000 2020,7773,[],1252331547329531906,,,3110,2365,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",955859268229623809,4536,4480,Tue Jan 23 17:46:23 +0000 2018,Twitter for iPhone
Mon Apr 20 20:21:23 +0000 2020,7413,[],1252331549456039940,1252281089877397504,2891995297,5341,8264,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",1252318094179082251,1,1,Mon Apr 20 19:28:15 +0000 2020,Twitter for Android
Mon Apr 20 20:21:24 +0000 2020,3444,[],1252331552970850305,,,6461,7097,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",66214693,16,132,Sun Aug 16 23:05:32 +0000 2009,Twitter Web App
