created_at,favorite_count,hashtags,id,in_reply_to_status_id,in_reply_to_user_id_str,reply_count,retweet_count,source,user_id_str,user_followers_count,user_friends_count,user_created_at,extracted_source
Mon Apr 20 20:21:07 +0000 2020,4538,[],1252331485392244738,,,2100,4901,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",346533164,2257,884,Mon Aug 01 12:28:26 +0000 2011,Twitter for iPhone
Mon Apr 20 20:21:08 +0000 2020,5342,[],1252331488428863489,,,7764,2706,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",727654927879802880,32,37,Wed May 04 00:23:48 +0000 2016,Twitter for Android
Mon Apr 20 20:21:09 +0000 2020,2037,[],1252331491863953415,,,4762,7936,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",2605165489,4,4,Sat Jul 05 09:13:52 +0000 2014,Twitter for Android
Mon Apr 20 20:21:15 +0000 2020,6210,[],1252331514995621893,,,5194,7559,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",88285188,2691,3675,Sat Nov 07 22:17:49 +0000 2009,Twitter for iPhone
Mon Apr 20 20:21:19 +0000 2020,1006,[],1252331531915472897,,,8119,4341,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",2613167797,95760,3850,Wed Jul 09 07:56:02 +0000 2014,Twitter for iPhone
Mon Apr 20 20:21:22 +0000 2020,21,"[RichPlanet, TheSlog, UKColumn, COVIDPURPOSE, CONQUESTOFDOUGH]",1252331544968077312,,,8585,4137,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",2252224682,743,825,Wed Dec 18 16:22:49 +0000 2013,Twitter Web App
Mon Apr 20 20:21:25 +0000 2020,4125,[],1252331557689458694,,,4564,8825,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",1010555103839965186,719,1504,Sat Jun 23 16:08:06 +0000 2018,Twitter Web App
Mon Apr 20 20:21:29 +0000 2020,2791,"[TomMalinowski, Corona]",1252331574189862912,,,9507,8822,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",17238370,10347,1465,Fri Nov 07 20:44:01 +0000 2008,Twitter for iPhone
Mon Apr 20 20:21:29 +0000 2020,4821,[],1252331574550552578,,,3593,530,"<a href=\"https://www.hootsuite.com\" rel=\"nofollow\">Hootsuite Inc.</a>",3313938135,1105,72,Mon Jun 08 22:05:45 +0000 2015,Hootsuite Inc.
Mon Apr 20 20:21:32 +0000 2020,8124,[],1252331587737317377,,,2941,3278,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",2981331446,366,1717,Wed Jan 14 02:15:25 +0000 2015,Twitter for iPhone
Mon Apr 20 20:21:35 +0000 2020,1705,[],1252331602438389762,,,7610,9298,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",324253709,2245,1507,Sun Jun 26 08:19:01 +0000 2011,Twitter Web App
Mon Apr 20 20:21:39 +0000 2020,515,[],1252331619605602304,,,1096,8500,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",1217600652773224448,115,497,Thu Jan 16 00:13:23 +0000 2020,Twitter for iPhone
Mon Apr 20 20:21:41 +0000 2020,1971,[],1252331624609583104,,,8431,9298,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",3141005305,685,287,Mon Apr 06 02:20:35 +0000 2015,Twitter for iPhone
Mon Apr 20 20:21:41 +0000 2020,3287,[],1252331626580922370,,,6897,9344,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",118048366,4414,3581,Sat Feb 27 12:39:11 +0000 2010,Twitter for iPhone
Mon Apr 20 20:21:42 +0000 2020,743,[],1252331629118255104,,,5788,1720,"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>",776305351339626496,363,113,Thu Sep 15 06:23:13 +0000 2016,Twitter for iPad
Mon Apr 20 20:21:42 +0000 2020,8021,[],1252331629391069185,,,2109,5462,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",871951087,897,754,Wed Oct 10 15:00:58 +0000 2012,Twitter for iPhone
Mon Apr 20 20:21:51 +0000 2020,4459,[OilPrice],1252331669392175107,,,9394,2177,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",965249311587078149,1017,912,Sun Feb 18 15:39:04 +0000 2018,Twitter for Android
Mon Apr 20 20:21:54 +0000 2020,3777,[],1252331680406306817,,,6762,9016,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",1246531724781260802,108,50,Sat Apr 04 20:15:16 +0000 2020,Twitter for Android
Mon Apr 20 20:21:54 +0000 2020,2726,"[NYCGANGBANG, GANGBANG, SWINGERS]",1252331682138664961,,,150,5068,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",1120575560856559616,1840,32,Tue Apr 23 06:30:07 +0000 2019,Twitter for iPhone
Mon Apr 20 20:21:58 +0000 2020,5836,[UrbanNaxals],1252331696638144512,,,4688,5056,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",618871028,215,199,Tue Jun 26 08:33:21 +0000 2012,Twitter for Android
Mon Apr 20 20:22:00 +0000 2020,6827,[],1252331703802171406,,,7183,2681,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",1243289102826516481,1122,2979,Thu Mar 26 21:30:03 +0000 2020,Twitter Web App
Mon Apr 20 20:22:00 +0000 2020,8367,[],1252331706348158977,,,2779,2189,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",1114827283221680129,199,266,Sun Apr 07 09:48:31 +0000 2019,Twitter Web App
Mon Apr 20 20:22:02 +0000 2020,5330,[],1252331713067393025,,,6897,7741,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",1127262319254355969,517,371,Sat May 11 17:20:55 +0000 2019,Twitter for iPhone
Mon Apr 20 20:22:04 +0000 2020,491,[],1252331720772325381,,,1995,5428,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",18672140,44670,6912,Tue Jan 06 12:29:56 +0000 2009,Twitter for iPhone
Mon Apr 20 20:22:05 +0000 2020,1443,[],1252331728355590144,,,5784,2371,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",1178164743296602112,318,60,Sun Sep 29 04:29:10 +0000 2019,Twitter for Android
Mon Apr 20 20:22:09 +0000 2020,4584,[],1252331743140614144,,,8048,7548,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",3317985364,413,482,Wed Jun 10 21:00:41 +0000 2015,Twitter for iPhone
Mon Apr 20 20:22:09 +0000 2020,1619,[],1252331743660724230,,,6948,191,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Mobile Web (M2)</a>",801680250,1,15,Tue Sep 04 02:52:15 +0000 2012,Mobile Web (M2)
Mon Apr 20 20:22:14 +0000 2020,2851,[],1252331762757312513,1252317396586696710,126873839,2369,6680,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",4224039373,191,295,Fri Nov 13 13:45:16 +0000 2015,Twitter for Android
Mon Apr 20 20:22:15 +0000 2020,4529,[],1252331768071380993,,,1187,6955,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",287280141,1406,983,Sun Apr 24 17:40:28 +0000 2011,Twitter for Android
Mon Apr 20 20:22:16 +0000 2020,3173,[],1252331773536743430,,,1065,6936,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",1195987915345735681,5,80,Sun Nov 17 08:52:05 +0000 2019,Twitter Web App
Mon Apr 20 20:22:20 +0000 2020,8340,[],1252331788959170562,,,8670,4037,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",296193267,1114,949,Tue May 10 10:44:47 +0000 2011,Twitter for Android
Mon Apr 20 20:22:23 +0000 2020,8470,[],1252331802909384705,,,4390,5636,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",541080006,446,778,Fri Mar 30 17:33:28 +0000 2012,Twitter Web App
Mon Apr 20 20:22:26 +0000 2020,6220,[],1252331815374913536,,,2517,2081,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",1226576673727971328,41,52,Sun Feb 09 18:41:25 +0000 2020,Twitter for Android
Mon Apr 20 20:22:29 +0000 2020,756,[],1252331825759830016,,,8883,4203,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",205141839,1283,975,Wed Oct 20 07:15:06 +0000 2010,Twitter for iPhone
Mon Apr 20 20:22:34 +0000 2020,3344,[OilPrice],1252331846387601413,,,889,4354,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",840973217078607873,51,130,Sun Mar 12 17:10:14 +0000 2017,Twitter for Android
Mon Apr 20 20:22:35 +0000 2020,9307,[OilPrice],1252331852855226370,,,3409,7198,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",495007580,28,237,Fri Feb 17 14:04:55 +0000 2012,Twitter for Android
Mon Apr 20 20:22:36 +0000 2020,6696,[],1252331856353165314,,,6233,8532,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",1246066148002725890,4,133,Fri Apr 03 13:25:29 +0000 2020,Twitter for Android
Mon Apr 20 20:22:39 +0000 2020,5639,[],1252331868093124609,,,5598,953,"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>",785028404,309,254,Mon Aug 27 16:36:41 +0000 2012,Twitter for iPad
Mon Apr 20 20:22:48 +0000 2020,4971,[],1252331905187491840,,,3517,8217,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",939896688239628293,3485,1223,Sun Dec 10 16:36:47 +0000 2017,Twitter for iPhone
Mon Apr 20 20:22:48 +0000 2020,7892,[],1252331905858535424,,,7976,4088,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",483285802,1467,956,Sat Feb 04 21:01:48 +0000 2012,Twitter for iPhone
Mon Apr 20 20:22:49 +0000 2020,863,[],1252331912858865667,,,9547,7644,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",1097559227302903815,38,92,Mon Feb 18 18:11:26 +0000 2019,Twitter for Android
Mon Apr 20 20:22:53 +0000 2020,9698,[],1252331929174761473,1252330202220441604,924278185935626241,5590,4067,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",1028173270363844608,25,179,Sat Aug 11 06:56:24 +0000 2018,Twitter for iPhone
