created_at,favorite_count,hashtags,id,in_reply_to_status_id,in_reply_to_user_id_str,reply_count,retweet_count,source,user_id_str,user_followers_count,user_friends_count,user_created_at,extracted_source
Mon Apr 20 15:01:59 +0000 2020,5621,[],1252251171697410048,,,93,6818,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",549592791,20192,4897,Mon Apr 09 20:07:30 +0000 2012,Twitter for Android
Mon Apr 20 15:02:00 +0000 2020,7312,[],1252251172997443585,,,6928,7067,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",127050602,7875,8297,Sat Mar 27 22:03:18 +0000 2010,Twitter Web App
Mon Apr 20 15:02:00 +0000 2020,893,[],1252251175866568705,,,248,8969,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",1249239739384946690,27,65,Sun Apr 12 07:35:49 +0000 2020,Twitter for Android
Mon Apr 20 15:02:02 +0000 2020,3161,[corona],1252251181788868611,1252243079345602562,858398658223640577,2314,5216,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",953772826967887873,13,135,Wed Jan 17 23:35:36 +0000 2018,Twitter for Android
Mon Apr 20 15:02:05 +0000 2020,4301,[],1252251197244936197,,,5967,3000,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",2258446142,252,144,Mon Dec 23 04:17:47 +0000 2013,Twitter for Android
Mon Apr 20 15:02:05 +0000 2020,794,[],1252251197551116291,,,1799,4780,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",3081585727,9933,373,Sat Mar 14 16:36:23 +0000 2015,Twitter for iPhone
Mon Apr 20 15:02:06 +0000 2020,6459,[],1252251200541483009,,,5754,4758,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",846459072283119616,113,237,Mon Mar 27 20:29:04 +0000 2017,Twitter for Android
Mon Apr 20 15:02:08 +0000 2020,2179,[],1252251207793627136,,,4834,6621,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",2512294663,485,720,Wed May 21 11:08:27 +0000 2014,Twitter for Android
Mon Apr 20 15:02:14 +0000 2020,5980,[],1252251233626107904,,,7752,2397,"<a href=\"https://www.acqro.in\" rel=\"nofollow\">ACQRO</a>",1247769393251024904,11,12,Wed Apr 08 06:13:17 +0000 2020,ACQRO
Mon Apr 20 15:02:18 +0000 2020,9399,[],1252251250264928262,,,8922,1769,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",627117054,127,29,Thu Jul 05 04:10:16 +0000 2012,Twitter for Android
Mon Apr 20 15:02:18 +0000 2020,5286,[],1252251251225526277,,,3124,1304,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",1096112182465650688,368,709,Thu Feb 14 18:21:23 +0000 2019,Twitter for iPhone
Mon Apr 20 15:02:18 +0000 2020,1380,[],1252251252207034370,,,2193,966,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",755443216791572480,21,208,Tue Jul 19 16:44:33 +0000 2016,Twitter for iPhone
Mon Apr 20 15:02:20 +0000 2020,7504,[],1252251258997612544,,,1171,4798,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",241876723,1106,1698,Sun Jan 23 10:43:27 +0000 2011,Twitter for iPhone
