created_at,favorite_count,hashtags,id,in_reply_to_status_id,in_reply_to_user_id_str,reply_count,retweet_count,source,user_id_str,user_followers_count,user_friends_count,user_created_at,extracted_source
Mon Apr 20 20:21:07 +0000 2020,5497,[],1252331482569465860,,,5095,2992,"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>",880818095786524673,47068,47451,Fri Jun 30 15:59:33 +0000 2017,Twitter for iPad
Mon Apr 20 20:21:07 +0000 2020,1113,"[pressplay, corona]",1252331483714523136,,,9411,31,"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>",786504955687477248,189,211,Thu Oct 13 09:52:48 +0000 2016,Instagram
Mon Apr 20 20:21:08 +0000 2020,1929,[],1252331489523531782,,,2686,3974,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",1252328614244335617,77,0,Mon Apr 20 20:10:05 +0000 2020,Twitter for Android
Mon Apr 20 20:21:12 +0000 2020,5615,[],1252331503503249410,,,3004,3496,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",2537784855,69,70,Fri May 09 21:17:21 +0000 2014,Twitter for Android
Mon Apr 20 20:21:12 +0000 2020,5973,[],1252331504837017608,,,18,4468,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",1239322679947284480,50,125,Sun Mar 15 22:49:18 +0000 2020,Twitter for Android
Mon Apr 20 20:21:12 +0000 2020,5487,[sciencenews],1252331505810116609,,,2050,4325,"<a href=\"https://github.com/farahsamat\" rel=\"nofollow\">TheMadBot</a>",893690746091352064,61,123,Sat Aug 05 04:30:52 +0000 2017,TheMadBot
Mon Apr 20 20:21:13 +0000 2020,4878,[],1252331510620971008,,,3612,6791,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",709035609713721344,585,196,Sun Mar 13 15:17:17 +0000 2016,Twitter for Android
Mon Apr 20 20:21:17 +0000 2020,1098,[],1252331525590441985,,,1100,7353,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",1188667317145800708,112,466,Mon Oct 28 04:02:41 +0000 2019,Twitter for Android
Mon Apr 20 20:21:20 +0000 2020,2475,[],1252331538429206532,,,3380,8379,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",1201731235,45,68,Wed Feb 20 17:50:04 +0000 2013,Twitter for Android
Mon Apr 20 20:21:25 +0000 2020,7643,[],1252331557727072256,,,5676,6553,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",3251844128,126,1625,Sun Jun 21 16:49:46 +0000 2015,Twitter for iPhone
Mon Apr 20 20:21:25 +0000 2020,3778,[],1252331559383977989,,,91,4589,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",1125136234068815873,1803,1060,Sun May 05 20:32:37 +0000 2019,Twitter for iPhone
Mon Apr 20 20:21:27 +0000 2020,1905,[],1252331568942788608,,,6330,6530,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",3296311601,115,617,Sun May 24 09:16:35 +0000 2015,Twitter for Android
Mon Apr 20 20:21:31 +0000 2020,9862,[],1252331585040527365,,,7267,7189,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",1332276792,369,212,Sat Apr 06 19:12:12 +0000 2013,Twitter for iPhone
Mon Apr 20 20:21:36 +0000 2020,2665,[],1252331606246862849,,,2410,5733,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",1128296132906504192,22828,18060,Tue May 14 13:48:55 +0000 2019,Twitter for iPhone
Mon Apr 20 20:21:36 +0000 2020,2833,[],1252331606242660355,,,9784,1062,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",1107464073522933761,62,71,Mon Mar 18 02:09:45 +0000 2019,Twitter for iPhone
Mon Apr 20 20:21:39 +0000 2020,3152,[],1252331617172905987,,,3816,6493,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",1192966569392885760,125,504,Sat Nov 09 00:46:50 +0000 2019,Twitter for Android
Mon Apr 20 20:21:40 +0000 2020,6483,[],1252331623426785280,,,7580,5695,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",606742065,90,243,Tue Jun 12 21:38:30 +0000 2012,Twitter for Android
Mon Apr 20 20:21:41 +0000 2020,2746,"[doctor, corona, pharmacist, nurses, safe]",1252331627952341004,,,3577,5574,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",3939074959,825,144,Sun Oct 18 19:22:21 +0000 2015,Twitter for iPhone
Mon Apr 20 20:21:43 +0000 2020,8906,[],1252331633375678465,,,3245,6282,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",241534687,16554,9482,Sat Jan 22 14:06:52 +0000 2011,Twitter Web App
Mon Apr 20 20:21:43 +0000 2020,8622,[],1252331633631469568,,,2515,9699,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",871085381139255297,1762,1713,Sat Jun 03 19:25:13 +0000 2017,Twitter for Android
Mon Apr 20 20:21:45 +0000 2020,2660,[],1252331643878232065,,,7786,2483,"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>",1198933367741399040,189,514,Mon Nov 25 11:56:22 +0000 2019,Twitter for iPad
Mon Apr 20 20:21:47 +0000 2020,9500,[],1252331652019294211,,,9222,2232,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",435301593,902,500,Mon Dec 12 22:20:23 +0000 2011,Twitter for iPhone
