created_at,favorite_count,hashtags,id,in_reply_to_status_id,in_reply_to_user_id_str,reply_count,retweet_count,source,user_id_str,user_followers_count,user_friends_count,user_created_at,extracted_source
Mon Apr 20 15:01:57 +0000 2020,7682,[],1252251164256555009,,,418,6513,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",346443880,208,1196,Mon Aug 01 08:15:42 +0000 2011,Twitter for Android
Mon Apr 20 15:01:59 +0000 2020,9486,[],1252251170845986816,,,9506,5558,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>",1247795796893814784,2,24,Wed Apr 08 08:00:08 +0000 2020,Twitter Web Client
Mon Apr 20 15:02:00 +0000 2020,7205,[],1252251177103888390,,,4747,1222,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",1159501970438119424,892,15,Thu Aug 08 16:29:47 +0000 2019,Twitter for Android
Mon Apr 20 15:02:04 +0000 2020,739,"[confinementjour23, COVID19, COVIDー19, coronavirus]",1252251192413114368,,,7200,1544,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",1168979638841991175,292,1552,Tue Sep 03 20:11:21 +0000 2019,Twitter for Android
Mon Apr 20 15:02:04 +0000 2020,9926,"[Goa, Manipur, coronavirus, covid, corona, covid19]",1252251192610050049,,,3448,6012,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",42896611,195391,1256,Wed May 27 14:46:57 +0000 2009,Twitter Web App
Mon Apr 20 15:02:07 +0000 2020,3262,[],1252251205864218630,,,2891,8675,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",951913844,35,162,Fri Nov 16 15:45:38 +0000 2012,Twitter for Android
Mon Apr 20 15:02:08 +0000 2020,3579,[],1252251209928409088,,,8399,1927,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",944839353469100032,75,835,Sun Dec 24 07:57:10 +0000 2017,Twitter for Android
Mon Apr 20 15:02:15 +0000 2020,3834,"[PlanIndia, Covid_19, Bhubaneswar]",1252251236667031552,,,9307,668,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",553159563,155,379,Fri Apr 13 23:10:35 +0000 2012,Twitter for iPhone
Mon Apr 20 15:02:15 +0000 2020,8643,[],1252251239011831808,,,9073,3189,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",321665735,460,275,Tue Jun 21 23:10:38 +0000 2011,Twitter for iPhone
Mon Apr 20 15:02:20 +0000 2020,9661,[],1252251259878465538,1252250709619335169,898918451774976001,3515,3662,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",1016280979,843,1080,Sun Dec 16 23:13:41 +0000 2012,Twitter for iPhone
Mon Apr 20 15:02:23 +0000 2020,6959,[],1252251269533581313,,,5774,2050,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",765635080974839808,2701,4323,Tue Aug 16 19:43:22 +0000 2016,Twitter for iPhone
Mon Apr 20 15:02:24 +0000 2020,6355,[NitishHelpKota],1252251275032506369,,,413,5163,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",846398438929510401,11,121,Mon Mar 27 16:28:07 +0000 2017,Twitter for Android
