user_id,prediction
850,1214 923 111 260 924 904 541 1208 913 3471 1080 3363 2716 2997 1407 3671 2529 1304 2599 3421 1953 2289 3543 1954 1294
2012,2081 1240 1282 2640 2174 2105 2080 1220 2355 780 1375 1036 551 316 2985 1527 1356 3421 648 1372 2916 1394 3671 3552 788
1511,260 908 1200 541 1247 110 923 589 1193 608 1219 1291 593 1197 1222 1036 111 1230 1206 1097 1234 2858 2529 1233 3471
5846,527 858 1617 2396 908 296 2762 750 1247 1213 904 924 1225 1221 1208 2028 969 1294 1234 1196 2324 1198 1265 2599 1197
4344,1219 1387 924 1080 2455 2716 1304 1953 919 1073 2288 1234 1266 1673 2289 2987 1250 2003 1267 1965 1215 1204 1961 70 2100
5570,1270 1 1136 2396 2000 2406 2797 2804 593 1722 588 2028 2353 1259 1079 3114 736 1148 1617 2081 50 2194 329 2248 1917
2507,2987 923 1079 1230 1394 541 1196 1252 1220 1073 588 595 1225 903 3424 2571 2064 1206 2289 3543 924 3504 2716 1673 914
5903,1196 110 2762 1573 1198 1240 733 3175 648 1370 3114 1617 1608 593 2355 3256 1214 1270 1036 1200 356 1291 608 316 1552
554,2997 2396 2599 3408 2987 2710 2355 3081 2395 3623 3175 1127 3114 3793 2692 913 3147 2028 3751 1210 3481 3052 110 1617 356
202,2762 1923 527 3147 457 1784 2571 380 1393 780 587 1036 1721 223 377 648 2804 2000 3499 1407 1259 2353 2115 1961 50
4387,1 1198 2396 2100 2174 17 1721 1219 1393 527 2020 592 539 1997 1101 3396 590 3081 318 2003 2640 2406 1214 1333 3114
1820,2571 608 2028 1270 480 260 110 1089 3421 1198 1136 1213 2791 924 2529 527 1394 3527 1358 1259 2804 1097 47 1294 750
5082,912 1197 913 923 969 750 908 260 919 1252 1094 2289 858 2700 1394 1193 2692 111 1079 541 1198 3072 2324 1259 3108
3827,1580 608 589 47 733 2353 1089 1356 1653 1358 1213 2763 356 2268 2617 1544 1372 1210 1266 2890 21 150 2006 1127 736
5854,3499 1214 1917 1370 457 733 3081 380 3175 1265 329 788 608 2628 2006 2028 356 1 3147 349 2763 474 1748 1127 1721
38,597 356 11 1265 2858 920 912 1 1307 1197 2291 1101 2081 1641 1210 2599 1094 3418 2355 2706 3255 2692 919 527 2321
1985,260 1200 1376 1573 457 1270 1372 3471 3702 2105 110 1917 592 1653 1876 1608 2011 10 1320 1391 1909 2455 1199 1552 1396
1392,1196 2571 1387 480 1304 1097 1 1291 296 1233 750 1265 1374 1201 1259 1276 1358 1953 50 3361 3147 1136 1266 969 1307
4626,1036 318 1307 1358 150 1704 1625 1784 1198 2268 1394 1517 1210 357 474 1370 3552 648 2391 1653 440 587 293 1608 2716
425,608 2918 1617 1270 1213 2858 1079 527 1197 457 590 2302 2804 1968 1784 1307 3210 1196 2797 1961 2716 1358 3253 2762 2915
216,1294 3421 1234 2302 750 3471 924 1262 260 919 1252 1 1221 1307 597 1387 2174 110 1287 1380 2529 2011 2424 2124 1213
2857,316 3256 1129 1219 2455 253 2058 1690 50 2571 1408 1876 2000 329 3082 2002 1358 1221 1356 527 2871 2003 2160 1333 2094
3701,260 110 2571 589 2858 318 1580 1387 1097 1240 1197 593 1270 858 2916 3793 3114 356 1036 2115 3147 3751 1704 1617 1356
548,3753 2455 1258 1219 260 1259 1198 2997 3623 2028 2762 2657 1278 2617 2599 1196 551 593 1544 1580 1221 1240 1210 2692 3176
889,1230 1247 2858 2396 480 1207 1307 357 1219 1225 2067 2407 1221 1953 1947 2628 3481 1272 1199 914 2019 2762 110 2664 2064
3517,1197 2716 1198 1394 1196 1259 2804 2174 1291 2000 1079 3448 1517 1307 2706 3033 2406 1097 223 592 2683 260 2001 2100 2987
5815,260 858 908 904 2529 1198 1617 111 3702 1219 1584 3703 50 608 3175 2011 2628 2640 2985 1208 1376 1136 1527 1127 919
591,1617 260 296 908 1198 904 750 919 1214 1221 1097 1704 2396 920 1207 150 1961 1393 590 1265 1206 969 1387 589 1307
5595,1240 1580 1127 1387 3527 1036 2985 2529 3175 110 3703 2640 2716 3702 316 1573 3793 1222 2455 592 2000 1320 1370 2997 1909
2941,260 1270 2396 595 1073 1198 1127 1584 1 32 1035 2100 903 908 2407 1617 1291 1653 2054 357 1372 780 316 1909 910
4728,1240 1214 1036 356 2028 357 457 1258 2000 2640 2406 3108 592 2194 223 1090 527 2455 21 1784 3471 1500 1721 480 1307
4117,2762 2028 110 780 6 223 3175 733 1210 3753 2706 3147 1552 1356 1584 1127 3081 70 1909 2700 2617 1240 2890 1544 380
4153,1 733 1608 587 34 2396 2355 3175 316 2617 11 2302 2321 2916 1610 39 2012 1923 788 2028 1721 2763 2699 3623 367
5226,1214 1196 457 1291 2916 1221 2028 1197 3578 1374 3703 110 3527 1220 2529 541 2115 1101 1127 474 1370 349 592 1573 2640
4345,2918 1270 357 3072 1674 1198 2243 2791 34 2248 11 597 1641 260 2080 908 440 1721 2470 2671 1183 3396 364 969 2302
3539,1197 2571 32 2987 1285 1215 1380 2100 2395 1377 2011 555 543 1307 1947 441 70 1912 2108 1220 1275 539 480 1909 2012
500,1 2997 3114 919 3481 593 588 2355 595 1136 1265 1198 2291 1193 1617 551 1307 1230 912 2791 2804 3578 1259 2028 2987
3882,296 2858 593 527 1094 590 318 1266 2890 47 2291 858 1090 32 1208 1183 1233 2959 2997 2762 111 1639 1222 457 3176
2738,2858 318 590 608 2997 2396 1784 1721 1393 593 1358 110 1961 3408 3160 2959 1641 1584 1225 2762 357 1193 1266 356 50
3518,2396 1197 357 2918 1094 1673 2174 1393 2336 1196 3160 527 296 2289 1961 1288 2321 1225 3526 2804 2100 1060 551 2959 32
2947,2858 2396 1617 50 2289 2692 2324 34 1288 1 1213 318 2918 2791 3751 1252 223 858 912 1094 2804 3160 1193 2700 111
4502,1193 1225 1090 1250 750 593 260 908 1294 3421 913 2987 3448 1252 1968 1136 1394 1198 2804 1276 3363 2762 903 2028 2268
156,2396 357 1265 587 39 1721 2762 440 912 1641 920 593 1674 2100 3072 2321 457 1784 1094 2406 1197 2706 736 1101 3418
4675,2997 1265 39 223 1259 3175 2916 589 1968 2797 1527 356 2700 1270 3108 541 1641 2395 1097 235 1307 1215 1073 1391 1584
673,3897 2997 2028 2324 3408 32 3006 3753 1196 1682 1213 25 2396 2599 1358 1641 1233 150 2692 1784 2571 923 1617 1639 1225
5136,260 2916 1197 150 590 1610 110 2628 2762 2797 1356 457 1721 296 2028 2011 1653 1517 3471 50 593 1307 2268 592 1214
5335,1036 1387 1197 2858 1240 1214 608 2028 1 2396 1270 1136 1307 1610 296 318 1230 1193 527 50 1394 2918 2762 1954 1304
2747,2396 2791 1394 34 2804 1307 3114 1073 3421 223 3751 1968 1080 919 1198 1230 1517 3671 1294 2987 357 3253 2762 3072 1617
5054,1214 2571 919 1196 1247 3363 1094 903 1225 235 1035 910 1994 1207 953 3421 1220 1282 300 1080 2291 2529 1394 1084 39
1624,1240 1198 3578 2571 3703 2529 2640 858 1197 1527 110 592 2997 1221 1356 750 3753 2692 2001 10 2028 377 2968 1573 3751
1285,3471 235 1954 1278 2791 1294 2352 1997 1036 3362 1077 3543 1263 1080 3361 1266 337 1186 300 2947 3210 1962 2291 778 3578
3648,2571 3793 318 1517 1097 2916 1923 1291 1968 2918 1552 2502 3052 1197 316 3033 2700 527 1732 1377 2694 736 2000 1777 3081
1333,750 924 858 1214 1200 1267 1294 2916 1208 1266 457 1136 2997 3471 1230 2944 1276 1220 589 2871 2366 919 1193 2692 1375
2599,480 541 1374 1580 924 1291 2028 750 919 1222 3175 2657 2011 1748 3751 364 316 1372 1221 1653 1129 595 1909 1391 1028
1996,1610 1197 1580 1387 1270 1220 1200 2115 1214 2918 527 1221 2194 2804 356 1097 780 733 1079 2797 2001 1294 1090 3671 296
3290,2762 223 3578 2770 2599 2395 3175 2396 3160 3114 3753 1210 2028 1222 858 3052 110 1196 1215 1617 589 260 2916 1240 1200
3313,1197 1214 318 2396 541 858 3751 750 1073 2115 3421 1394 32 1372 2947 1375 1234 1259 1206 1079 329 2968 2599 1221 1288
1112,318 2355 593 1196 296 377 1704 2716 2959 2078 1240 3793 480 3408 1393 2324 1370 1035 2700 1101 2617 3471 2640 551 1193
4647,1208 1252 1673 1222 296 1193 1288 3362 1094 1230 1263 3504 1674 2915 3418 2248 3386 2020 21 3526 3608 2890 1249 32 1639
1943,223 1394 3253 1288 1060 1 111 1500 457 1079 3608 235 1625 858 1206 2706 2692 2683 3424 3793 1199 588 1221 3578 141
1130,260 1036 3578 1291 1225 2997 1193 2762 1214 1954 1304 1617 1200 919 2571 2194 1234 50 608 296 3751 1097 1207 2987 2791
5269,608 2858 1394 1079 1732 2791 318 527 1136 223 1252 2918 2692 541 1968 1206 32 293 2700 1225 1090 1080 1199 1500 923
2885,1517 2791 2918 356 1641 2395 3255 1136 1270 1394 2355 1777 2762 3671 2804 1197 357 2959 1220 597 1288 2000 3361 2470 1278
3163,1198 541 1704 39 2987 357 1136 318 2968 2174 1089 551 1968 150 2959 2005 1240 337 2599 2336 1258 594 1500 953 1060
4497,1387 2987 2455 1193 924 1196 913 1222 1036 1206 1225 3703 3499 2529 593 1208 908 912 3702 903 1247 3176 904 1374 1294
3299,1196 1704 2324 318 2599 541 2395 3108 3481 1961 2571 17 223 150 1246 1193 1199 1307 3897 1358 2712 1639 2700 34 1213
3677,2762 2710 480 589 1573 2699 110 733 1036 2028 2571 1089 608 3256 474 380 1674 1 1544 2355 2706 2657 1580 3176 349
1181,750 969 1208 1247 1212 2947 1732 480 3504 1580 1377 1234 1945 3363 2959 3481 1610 1256 1104 2641 2599 2871 899 1266 1210
991,2858 357 1210 920 1196 1968 919 1247 1259 913 2797 597 2997 1265 1270 908 2716 2174 1183 1028 11 1198 1225 260 608
10,260 1073 1197 2987 2628 356 2355 3033 34 2080 1356 3671 3253 2529 1206 3421 1968 1207 1375 3448 329 2968 2657 1682 1246
4729,1704 1393 527 1784 1721 593 34 2997 1183 440 1923 2291 587 296 2336 3108 25 1961 2599 1682 1968 3072 36 1213 1270
