user_id,title,movie_id,rating,release_date,sex,age
41,Doctor Zhivago (1965),2067,5,Drama|Romance|War,18,F
26,"Little Mermaid, The (1989)",2081,4,Animation|Children's|Comedy|Musical|Romance,25,M
58,Poltergeist (1982),1994,4,Horror|Thriller,25,M
34,While You Were Sleeping (1995),339,4,Comedy|Romance,18,F
95,Jurassic Park (1993),480,3,Action|Adventure|Sci-Fi,45,M
88,Blowup (1966),3788,5,Drama|Mystery,45,F
32,Moonstruck (1987),3072,5,Comedy,25,F
36,"Brothers McMullen, The (1995)",144,4,Comedy,25,M
100,Star Wars: Episode IV - A New Hope (1977),260,4,Action|Adventure|Fantasy|Sci-Fi,35,M
80,"Mask of Zorro, The (1998)",2006,4,Action|Adventure|Romance,56,M
10,Fletch (1985),2371,4,Comedy,35,F
53,Psycho (1998),2389,5,Crime|Horror|Thriller,25,M
28,Young Frankenstein (1974),1278,5,Comedy|Horror,25,F
71,"Bone Collector, The (1999)",3005,4,Thriller,25,M
33,"Girl, Interrupted (1999)",3186,3,Drama,45,M
10,Tommy Boy (1995),333,3,Comedy,35,F
90,Back to the Future Part III (1990),2012,4,Comedy|Sci-Fi|Western,56,M
53,"Jackal, The (1997)",1687,5,Action|Thriller,25,M
22,Little Big Man (1970),3037,2,Comedy|Drama|Western,18,M
31,"Last Detail, The (1973)",3200,3,Comedy|Drama,56,M
56,American Pie (1999),2706,4,Comedy,35,M
34,"Fish Called Wanda, A (1988)",1079,4,Comedy,18,F
22,Super Mario Bros. (1993),546,2,Action|Adventure|Children's|Sci-Fi,18,M
8,Cop Land (1997),1589,4,Crime|Drama|Mystery,25,M
53,Spaceballs (1987),3033,5,Comedy|Sci-Fi,25,M
12,Dog Day Afternoon (1975),3362,3,Comedy|Crime|Drama,25,M
92,Drop Dead Gorgeous (1999),2718,1,Comedy,18,F
63,Bowfinger (1999),2770,4,Comedy,18,M
65,Rudy (1993),524,5,Drama,35,M
26,Rising Sun (1993),517,3,Action|Drama|Mystery,25,M
85,Saving Private Ryan (1998),2028,2,Action|Drama|War,18,M
62,White Men Can't Jump (1992),3263,4,Comedy,35,F
53,Twelve Monkeys (1995),32,4,Drama|Sci-Fi,25,M
26,Clueless (1995),39,3,Comedy|Romance,25,M
19,Bride of Frankenstein (1935),1340,3,Horror,1,M
45,Before Sunrise (1995),215,3,Drama|Romance,45,F
2,"Bodyguard, The (1992)",3257,3,Action|Drama|Romance|Thriller,56,M
69,"Postino, Il (The Postman) (1994)",58,4,Drama|Romance,25,F
44,Ferris Bueller's Day Off (1986),2918,4,Comedy,45,M
53,"Lock, Stock & Two Smoking Barrels (1998)",2542,5,Comedy|Crime|Thriller,25,M
62,"Sugarland Express, The (1974)",3738,3,Drama,35,F
10,"Shawshank Redemption, The (1994)",318,4,Drama,35,F
50,Gone in 60 Seconds (2000),3717,3,Action|Crime,25,F
83,Night of the Living Dead (1968),968,3,Horror|Sci-Fi,25,F
44,Toy Story (1995),1,5,Animation|Children's|Comedy,45,M
22,So I Married an Axe Murderer (1993),543,4,Comedy|Romance|Thriller,18,M
49,Aliens (1986),1200,5,Action|Sci-Fi|Thriller|War,18,M
34,True Lies (1994),380,3,Action|Adventure|Comedy|Romance,18,F
97,Shall We Dance? (Shall We Dansu?) (1996),1537,5,Comedy,35,F
92,Empire Records (1995),3477,2,Comedy|Drama,18,F
49,Clear and Present Danger (1994),349,3,Action|Adventure|Thriller,18,M
30,Best in Show (2000),3911,2,Comedy,35,F
73,"Princess Bride, The (1987)",1197,5,Action|Adventure|Comedy|Romance,18,M
22,Grumpy Old Men (1993),3450,3,Comedy,18,M
36,"Iron Giant, The (1999)",2761,4,Animation|Children's,25,M
36,Indiana Jones and the Temple of Doom (1984),2115,5,Action|Adventure,25,M
15,What Lies Beneath (2000),3798,4,Thriller,25,M
48,Star Trek III: The Search for Spock (1984),1375,3,Action|Adventure|Sci-Fi,25,M
5,Romy and Michele's High School Reunion (1997),1513,4,Comedy,25,M
36,Young Frankenstein (1974),1278,5,Comedy|Horror,25,M
40,"Wizard of Oz, The (1939)",919,5,Adventure|Children's|Drama|Musical,45,M
73,Poltergeist (1982),1994,3,Horror|Thriller,18,M
58,"Commitments, The (1991)",3060,4,Comedy|Drama,25,M
5,One False Move (1991),3728,2,Thriller,25,M
15,Dumb & Dumber (1994),231,2,Comedy,25,M
34,Pee-wee's Big Adventure (1985),3608,3,Comedy,18,F
58,Spawn (1997),1591,3,Action|Adventure|Sci-Fi|Thriller,25,M
33,"Butcher Boy, The (1998)",1699,1,Drama,45,M
76,Waking Ned Devine (1998),2359,5,Comedy,35,M
42,Gremlins (1984),2003,3,Comedy|Horror,25,M
17,"Firm, The (1993)",454,4,Drama|Thriller,50,M
16,Never Been Kissed (1999),2581,4,Comedy|Romance,35,F
97,Gulliver's Travels (1939),2899,4,Adventure|Animation|Children's,35,F
58,Judge Dredd (1995),173,3,Action|Adventure|Sci-Fi,25,M
78,That Thing You Do! (1996),1042,4,Comedy,45,F
97,My Man Godfrey (1936),947,5,Comedy,35,F
52,Air Force One (1997),1608,4,Action|Thriller,18,M
48,Animal House (1978),3421,3,Comedy,25,M
2,"Untouchables, The (1987)",2194,4,Action|Crime|Drama,56,M
82,L.A. Confidential (1997),1617,4,Crime|Film-Noir|Mystery|Thriller,25,M
74,Dead Man Walking (1995),36,5,Drama,35,M
18,"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",1643,5,Drama|Romance,18,F
64,"Truman Show, The (1998)",1682,4,Drama,18,M
73,Solo (1996),692,4,Action|Sci-Fi|Thriller,18,M
10,"Return of the Pink Panther, The (1974)",1125,4,Comedy,35,F
23,"Manchurian Candidate, The (1962)",1267,4,Film-Noir|Thriller,35,M
5,Four Days in September (1997),1759,4,Drama,25,M
42,Men in Black (1997),1580,3,Action|Adventure|Comedy|Sci-Fi,25,M
54,Dog Day Afternoon (1975),3362,3,Comedy|Crime|Drama,50,M
42,Free Enterprise (1998),2681,4,Comedy|Romance|Sci-Fi,25,M
33,"Shawshank Redemption, The (1994)",318,5,Drama,45,M
73,Blade (1998),2167,3,Action|Adventure|Horror,18,M
53,Clue (1985),2413,5,Comedy|Mystery,25,M
40,Iron Eagle II (1988),2816,1,Action|War,45,M
19,"Sixth Sense, The (1999)",2762,5,Thriller,1,M
42,Terminator 2: Judgment Day (1991),589,4,Action|Sci-Fi|Thriller,25,M
15,"Mask of Zorro, The (1998)",2006,4,Action|Adventure|Romance,25,M
42,Barb Wire (1996),737,3,Action|Sci-Fi,25,M
18,Alice in Wonderland (1951),1032,4,Animation|Children's|Musical,18,F
44,Beetlejuice (1988),2174,4,Comedy|Fantasy,45,M
39,"Bug's Life, A (1998)",2355,4,Animation|Children's|Comedy,18,M
48,Blue Streak (1999),2860,2,Comedy,25,M
19,Gremlins 2: The New Batch (1990),2004,2,Comedy|Horror,1,M
9,Big Night (1996),994,4,Drama,25,M
92,Scary Movie (2000),3785,4,Comedy|Horror,18,F
45,Sister Act 2: Back in the Habit (1993),3248,3,Comedy,45,F
37,Dirty Dancing (1987),1088,5,Musical|Romance,25,F
88,Citizen Kane (1941),923,5,Drama,45,F
92,Lady and the Tramp (1955),2080,5,Animation|Children's|Comedy|Musical|Romance,18,F
23,"Fly, The (1986)",2455,4,Horror|Sci-Fi,35,M
31,Monty Python and the Holy Grail (1974),1136,3,Comedy,56,M
96,Remember the Titans (2000),3916,4,Drama,25,F
31,"Princess Bride, The (1987)",1197,5,Action|Adventure|Comedy|Romance,56,M
58,"7th Voyage of Sinbad, The (1958)",3153,4,Action|Adventure|Fantasy,25,M
74,Frequency (2000),3510,2,Drama|Thriller,35,M
2,"Fisher King, The (1991)",3108,3,Comedy|Drama|Romance,56,M
39,X-Men (2000),3793,4,Action|Sci-Fi,18,M
96,Gladiator (2000),3578,3,Action|Drama,25,F
24,Reality Bites (1994),372,1,Comedy|Drama,25,F
5,Pecker (1998),2282,3,Comedy|Drama,25,M
48,Exit to Eden (1994),234,2,Comedy,25,M
53,Time Bandits (1981),2968,5,Adventure|Fantasy|Sci-Fi,25,M
23,Romeo Is Bleeding (1993),521,2,Crime|Thriller,35,M
53,Devil in a Blue Dress (1995),164,5,Crime|Film-Noir|Mystery|Thriller,25,M
42,"War of the Worlds, The (1953)",2662,4,Action|Sci-Fi|War,25,M
70,"Messenger: The Story of Joan of Arc, The (1999)",3053,1,Drama|War,18,M
90,Just Cause (1995),257,4,Mystery|Thriller,56,M
23,Beauty and the Beast (1991),595,3,Animation|Children's|Musical,35,M
93,"Bodyguard, The (1992)",3257,3,Action|Drama|Romance|Thriller,25,M
10,"Affair to Remember, An (1957)",932,2,Romance,35,F
53,Safe (1995),190,5,Thriller,25,M
92,Being John Malkovich (1999),2997,1,Comedy,18,F
92,Mission: Impossible 2 (2000),3623,1,Action|Thriller,18,F
62,My Crazy Life (Mi vida loca) (1993),269,4,Drama,35,F
62,Some Like It Hot (1959),910,4,Comedy|Crime,35,F
62,Outrageous Fortune (1987),2752,3,Comedy|Mystery,35,F
25,Barb Wire (1996),737,3,Action|Sci-Fi,18,M
68,Monty Python's Life of Brian (1979),1080,5,Comedy,18,M
81,L.A. Confidential (1997),1617,5,Crime|Film-Noir|Mystery|Thriller,25,F
32,Mansfield Park (1999),3079,5,Drama,25,F
5,Fargo (1996),608,4,Crime|Drama|Thriller,25,M
23,Badlands (1973),3741,2,Crime|Drama,35,M
56,In the Line of Fire (1993),474,4,Action|Thriller,35,M
40,Independence Day (ID4) (1996),780,4,Action|Sci-Fi|War,45,M
36,Scrooged (1988),3087,4,Comedy,25,M
67,North by Northwest (1959),908,5,Drama|Thriller,50,F
53,"Saint, The (1997)",1479,3,Action|Romance|Thriller,25,M
29,"Matrix, The (1999)",2571,3,Action|Sci-Fi|Thriller,35,M
9,Run Lola Run (Lola rennt) (1998),2692,4,Action|Crime|Romance,25,M
42,"Matrix, The (1999)",2571,3,Action|Sci-Fi|Thriller,25,M
58,"Good Morning, Vietnam (1987)",3448,3,Comedy|Drama|War,25,M
99,"Tin Drum, The (Blechtrommel, Die) (1979)",1161,1,Drama,1,F
24,Midnight Run (1988),3104,4,Action|Adventure|Comedy|Crime,25,F
9,Apollo 13 (1995),150,3,Drama,25,M
51,Antz (1998),2294,4,Animation|Children's,1,F
58,"Wizard of Oz, The (1939)",919,5,Adventure|Children's|Drama|Musical,25,M
8,"Bodyguard, The (1992)",3257,3,Action|Drama|Romance|Thriller,25,M
33,Prizzi's Honor (1985),3685,3,Comedy|Drama|Romance,45,M
48,Hercules (1997),1566,3,Adventure|Animation|Children's|Comedy|Musical,25,M
18,"Swan Princess, The (1994)",313,4,Animation|Children's,18,F
92,Dumbo (1941),1029,2,Animation|Children's|Musical,18,F
91,Fandango (1985),2073,5,Comedy,35,M
36,Near Dark (1987),3727,4,Comedy|Horror,25,M
29,Jurassic Park (1993),480,4,Action|Adventure|Sci-Fi,35,M
23,Star Trek III: The Search for Spock (1984),1375,3,Action|Adventure|Sci-Fi,35,M
42,King Kong (1933),2366,4,Action|Adventure|Horror,25,M
23,Stargate (1994),316,3,Action|Adventure|Sci-Fi,35,M
13,Superman II (1980),2641,3,Action|Adventure|Sci-Fi,45,M
60,Forever Young (1992),3269,3,Adventure|Romance|Sci-Fi,50,M
22,Jackie Chan's First Strike (1996),1429,2,Action,18,M
65,Rocky (1976),1954,4,Action|Drama,35,M
75,Home Alone 2: Lost in New York (1992),2953,4,Children's|Comedy,1,F
92,Legend (1985),2143,2,Adventure|Fantasy|Romance,18,F
78,"Jungle Book, The (1967)",2078,3,Animation|Children's|Comedy|Musical,45,F
36,Contact (1997),1584,4,Drama|Sci-Fi,25,M
36,Marathon Man (1976),3551,4,Thriller,25,M
100,Cutthroat Island (1995),15,3,Action|Adventure|Romance,35,M
22,Dogma (1999),3052,4,Comedy,18,M
23,Strictly Ballroom (1992),1188,3,Comedy|Romance,35,M
77,Hollow Man (2000),3826,1,Horror|Sci-Fi|Thriller,18,M
80,Toy Story 2 (1999),3114,3,Animation|Children's|Comedy,56,M
67,Marty (1955),1946,5,Drama|Romance,50,F
92,Oliver & Company (1988),709,3,Animation|Children's,18,F
42,Galaxy Quest (1999),3175,5,Adventure|Comedy|Sci-Fi,25,M
45,"Bell, Book and Candle (1958)",3516,4,Comedy|Romance,45,F
26,Beautiful Girls (1996),94,3,Drama,25,M
1,Hercules (1997),1566,4,Adventure|Animation|Children's|Comedy|Musical,1,F
23,Big Trouble in Little China (1986),3740,5,Action|Comedy,35,M
53,Twin Falls Idaho (1999),2725,3,Drama,25,M
48,Addams Family Values (1993),410,2,Comedy,25,M
46,Friday the 13th Part 2 (1981),1975,5,Horror,18,M
17,Die Hard 2 (1990),1370,3,Action|Thriller,50,M
60,Get Shorty (1995),21,3,Action|Comedy|Drama,50,M
26,Threesome (1994),550,3,Comedy|Romance,25,M
34,Beetlejuice (1988),2174,4,Comedy|Fantasy,18,F
62,Battle for the Planet of the Apes (1973),2531,3,Action|Sci-Fi,35,F
31,Born Yesterday (1950),3341,4,Comedy,56,M
44,"Godfather, The (1972)",858,3,Action|Crime|Drama,45,M
73,Total Recall (1990),2916,5,Action|Adventure|Sci-Fi|Thriller,18,M
62,Superman II (1980),2641,3,Action|Adventure|Sci-Fi,35,F
90,Kansas City (1996),869,3,Crime,56,M
22,"Fifth Element, The (1997)",1527,2,Action|Sci-Fi,18,M
18,Mary Poppins (1964),1028,5,Children's|Comedy|Musical,18,F
45,Barefoot in the Park (1967),2870,2,Comedy,45,F
33,"Toxic Avenger, The (1985)",3693,1,Comedy|Horror,45,M
17,Malcolm X (1992),3246,4,Drama,50,M
48,"Perfect Murder, A (1998)",1892,3,Mystery|Thriller,25,M
9,Reservoir Dogs (1992),1089,4,Crime|Thriller,25,M
82,"Big Lebowski, The (1998)",1732,3,Comedy|Crime|Mystery|Thriller,25,M
53,Cyrano de Bergerac (1990),1277,5,Action|Drama|Romance,25,M
33,House of Frankenstein (1944),2647,4,Horror,45,M
