user_id,prediction
850,1213 111 296 1089 923 1080 2908 2289 3210 1233 1732 541 1148 2599 1208 3671 3174 34 1304 3543 1953 3481 1214 924 2997
2012,318 2762 1240 908 1356 110 1214 3147 2947 904 1201 1036 50 2324 903 858 1225 2948 1372 1250 1221 293 2355 912 3552
1511,908 1219 3114 1282 34 1233 1193 260 2692 2529 923 1 541 2355 318 1213 2194 364 1266 2081 1200 110 1674 593 1073
5846,3114 1214 1358 1225 2599 904 1266 1278 924 750 34 908 1387 3176 3751 1 551 3471 2985 2355 2529 3703 2804 1198 1961
4344,924 1267 1219 1387 1204 2288 2599 1233 2761 1673 3160 1244 1250 593 2019 1148 246 1262 2890 745 1953 3114 1266 1299 1965
5570,3114 1148 1 39 1517 1288 1136 2762 2248 50 2858 2502 588 2804 2396 3897 3751 1270 364 2683 1617 1028 595 3948 3552
2507,923 2366 1230 1207 3504 1219 1252 3424 1213 1233 3104 34 3362 2289 920 1206 2064 2908 1276 1089 1912 1201 1188 1262 1333
5903,1200 1196 1198 1214 2716 1136 2396 110 858 1278 1221 1387 34 1215 3703 1374 3114 1240 2890 3751 1036 541 3578 1213 1288
554,296 858 1221 1089 1617 50 1208 1213 541 2692 111 2571 1252 1923 912 924 1206 318 608 47 1230 923 1090 1247 750
202,2571 1036 2762 1262 50 377 1573 1200 3114 527 1625 457 1721 912 595 1240 1923 1267 904 858 1234 1148 1393 1197 1127
4387,17 2908 3114 2571 3948 318 1 3408 2248 3176 1569 1721 3147 2692 1183 1704 1997 1219 2997 1639 3396 2396 527 1214 1267
1820,1198 110 2028 1954 1213 1270 1234 260 1250 480 1242 1276 1097 3421 920 527 1259 1961 2324 2791 1291 2268 913 2194 2529
5082,923 750 924 3671 1252 912 111 1250 913 541 1276 1219 3552 3421 969 908 2791 2289 1394 1220 2804 3481 1258 1193 919
3827,1221 858 3578 3753 1208 1408 1234 912 1294 527 1213 750 1233 1198 1266 924 913 608 1090 1196 2000 356 3421 1304 1252
5854,1240 1214 3147 1200 318 541 3471 3578 2115 1198 1704 1210 2529 2628 3527 3948 1196 1127 1036 296 1748 2858 924 356 1291
38,1234 1307 2268 912 356 1304 318 527 50 1101 913 2804 3361 457 1610 150 11 2324 2918 2028 3256 1242 1036 1408 590
