user_id,prediction
850,1214 923 111 924 904 3471 260 913 2997 1208 589 2716 541 2710 1080 3363 1407 1953 2599 1954 2289 1304 3671 3081 3421
2012,2174 1240 2081 1282 2105 780 316 2640 2080 1375 1356 1220 551 2355 1036 1527 2985 2916 648 1372 110 788 1394 2723 1079
1511,260 110 608 1193 541 593 908 1200 2858 50 589 296 923 1291 318 1213 1247 1222 111 1233 1197 1219 1097 1036 3578
5846,527 296 858 1617 1213 2762 1221 2028 2396 1247 1196 908 924 750 1198 904 1089 1225 1358 2599 2692 1270 1208 1259 1097
4344,1219 924 1387 1080 1953 2288 2455 1266 1036 1673 1267 1304 1215 2289 1965 1961 2716 1250 2019 1 1234 2000 3253 919 2003
5570,1270 1 2000 2406 2797 593 2028 1136 50 1259 1617 2396 2804 2762 1079 2353 1722 588 1288 1917 2001 736 2194 3361 329
2507,923 2987 541 1225 1252 1079 1230 1394 903 1196 2289 924 1267 588 1220 2064 595 1207 34 3424 2571 1206 1200 2716 1073
5903,1196 110 1240 1198 1573 733 2762 3114 1036 1200 1214 1370 593 1197 356 648 1270 1608 1291 3256 2355 318 32 3175 316
554,2997 2396 2599 3408 2710 2987 3081 2355 2395 3623 1127 3114 3793 2692 3175 913 1210 2028 3147 608 3897 858 318 296 50
202,2762 1923 527 457 3147 1393 2571 1721 1784 380 377 223 1036 780 587 648 1407 2804 2000 3499 1259 2006 1197 1961 1090
4387,1198 2396 1 2174 2100 1721 17 1219 527 592 318 1393 2003 1101 3081 590 539 2406 1997 1207 2628 2020 3396 1333 2640
1820,2571 608 2028 110 480 1213 1270 1089 260 2791 3421 1136 3527 47 527 2529 1394 924 1358 1198 1259 1097 3703 377 1527
5082,1197 912 260 750 969 923 913 919 908 1198 2692 1307 1094 2324 924 1394 1259 1252 858 2289 111 1193 1183 1079 2700
3827,608 589 47 1580 733 1089 1213 2353 1358 1240 1356 527 2763 2268 1214 1653 541 736 2617 1544 1036 924 904 1200 1127
5854,1214 1370 3499 457 733 1917 380 3081 608 2628 2028 474 329 3147 349 2006 788 1748 356 1240 1721 1127 296 2763 1265
38,356 597 1265 11 1197 2858 1307 1210 1094 2291 920 2081 2028 912 1 2706 2355 1101 2100 527 110 1408 1674 1196 318
1985,260 1200 1376 1573 457 1270 110 1372 1917 3471 3702 1876 2105 2762 592 1608 1909 1320 2763 10 1653 1552 2011 1748 1391
1392,1196 2571 1387 480 1304 1097 296 1291 50 1374 2858 1953 1233 1225 1358 1704 3256 1201 1 3527 750 2947 3147 1276 2268
4626,318 1307 1036 1210 1704 1358 1625 357 1784 474 2268 2391 293 1370 150 1394 1517 1198 1608 648 587 3526 2406 440 1653
425,1270 2918 608 1617 1197 1196 1079 1213 1968 1307 527 2804 2858 1222 457 590 1210 1961 2194 2797 1784 3210 2302 34 1240
216,1294 1234 3471 750 3421 2302 260 924 1221 1252 1387 597 1262 110 1307 919 1287 904 1617 1 2424 2529 1084 1380 2011
2857,3256 1129 2571 316 2058 2455 1219 1408 1876 253 50 1690 2002 1221 2000 3082 329 1358 527 1356 2871 1333 2160 2094 2003
3701,260 110 589 2571 1240 318 1270 1580 1097 1197 593 858 1036 2916 2858 1387 356 1242 1617 3793 3114 1704 1221 3751 3147
548,1258 3753 2455 1198 2028 1219 260 2997 3623 2762 2617 1259 1221 1210 1193 1278 2657 1580 1196 1200 3176 551 1222 2628 2959
889,2396 1247 1230 1225 357 1307 2858 1207 1219 1199 34 2019 1953 3481 2664 1221 2067 1272 1203 1293 1148 1198 480 2064 440
3517,1197 1196 2716 2174 1259 2804 1394 1079 1307 3448 2000 223 2706 1198 1265 1517 1291 260 1097 2683 2100 2700 592 2406 2001
5815,260 858 1617 908 2628 1198 904 1356 1584 111 1527 608 3175 1127 50 2529 3702 2762 2858 3703 780 593 1909 1376 2985
591,1617 260 296 1221 904 908 1198 1097 1214 589 750 1704 919 1207 1089 920 590 1961 47 1393 1094 1206 2396 1721 1953
5595,1240 1127 1580 1036 3527 1387 110 2985 2529 3702 2716 1573 3703 316 2640 3175 592 1222 3793 2000 1370 2455 1909 2692 1584
2941,260 2396 1270 595 1073 1198 1127 1 32 1584 1617 357 2100 903 1372 316 1909 2054 1291 1653 780 908 2407 3699 1035
4728,2028 1214 1240 356 1036 457 592 2000 223 2194 21 1090 2406 357 480 1258 3108 1721 2706 1784 3471 527 2640 1500 2268
4117,2762 2028 733 110 780 6 1213 2706 2997 223 1240 1210 1552 2692 1127 1912 1356 474 1584 1036 2700 3175 2617 380 3147
4153,733 1608 110 2028 1610 316 2617 2916 587 1721 1527 1 2762 1676 1356 2012 11 593 2763 3753 21 474 367 34 788
5226,1196 457 1214 2916 110 1221 1291 2028 1127 3578 1197 1374 3703 3527 1220 592 541 474 1370 349 1101 21 1573 2763 2529
4345,357 2918 1270 34 597 3072 2243 1674 1721 2248 11 318 2080 2671 1641 1198 440 1193 2791 2858 2302 364 1183 2108 3396
3539,2571 1197 2987 32 1285 1377 2011 555 1380 3418 2395 1215 543 2124 2100 904 141 1275 539 1220 586 337 111 441 1258
500,1 2997 3114 919 593 588 2355 595 2028 3481 2987 1265 1617 2716 223 1259 2959 1136 3160 1307 1230 2291 551 1270 2804
3882,296 593 527 318 1094 2858 47 590 858 1183 457 1266 2890 1233 3176 1610 2291 2997 474 111 2762 1193 32 1090 3256
2738,318 2858 590 608 1393 1721 593 110 1784 1358 2396 3160 2997 356 3408 1961 2959 1641 3897 1259 1584 1097 1265 357 50
3518,2396 1197 2918 357 1094 2174 2336 296 527 3160 1196 1673 2289 1288 1225 1393 1961 3526 2321 2804 2959 2406 2100 150 2571
2947,2858 2396 50 1617 1213 318 223 2289 2692 1288 34 1094 2324 1 2700 25 21 2762 293 2791 2028 1673 2918 3160 111
4502,1193 593 1225 1090 260 750 2028 2762 1250 908 1198 50 1252 2268 1968 1276 1089 2804 1242 3363 903 913 1394 3421 3448
156,2396 357 1721 1265 39 587 2762 440 1094 2028 593 920 912 1674 3578 1408 1641 2706 1784 110 1197 2100 1210 2355 736
4675,2997 39 1265 541 589 1200 1240 2599 223 1270 2395 1214 1097 1527 1307 2916 1641 2797 2700 1748 1199 1073 1259 1968 1374
673,2997 2324 3897 2028 3408 3006 2396 25 1213 2599 1358 1682 1617 32 1225 1196 1641 1230 1233 1784 2692 150 1097 923 1747
5136,260 1197 457 2916 150 110 1610 1721 590 1307 2797 2028 2628 1214 1 1517 2291 3253 377 2762 2268 1259 593 11 1653
5335,608 2858 1197 2028 1610 1036 296 50 1240 318 2762 1270 1 1387 2396 1214 1259 1136 1307 1394 480 1288 1079 527 2918
2747,2396 2791 3114 1394 1307 34 2804 223 3421 1073 1968 1517 3751 1080 3253 357 2321 919 2987 3671 50 1230 1198 356 2762
5054,1214 2571 1196 903 919 1247 1225 1094 910 1207 1035 3363 953 1994 235 300 1704 2291 1084 2406 39 1282 1784 1953 590
1624,2571 1240 3578 110 1198 3703 1527 2028 1197 858 1356 2529 592 1221 2640 1573 2692 377 2968 380 1408 1544 2001 1242 2997
1285,3471 235 1954 1278 2352 1294 2791 1997 3543 3361 3362 1080 1036 1077 337 1186 300 1127 1263 1266 778 1962 1259 3499 2947
3648,2571 318 1517 1923 2916 1968 2502 3793 2700 2918 1291 1097 1265 1552 316 2000 2694 1777 3081 3052 736 1197 1610 527 1784
1333,858 924 750 1214 1200 1208 1294 1267 1266 2916 589 457 2028 2944 293 110 1136 2871 3471 1276 2366 1079 2692 1220 3578
2599,541 1374 480 1580 924 1291 1748 3175 1222 2028 1372 316 750 1129 2657 2987 1909 1136 2011 1653 364 3751 592 1221 595
1996,1610 1387 1214 1580 1270 1200 1221 1197 2115 1220 2194 1097 733 608 780 527 296 2918 356 2001 50 1617 1233 2640 2804
3290,2762 223 3578 2599 2770 2395 2396 3160 3175 858 3114 1221 50 3753 1617 296 593 3052 589 1214 1213 1240 3897 1089 3481
3313,1197 1214 318 2396 541 3751 1394 858 32 1259 588 1079 1288 1676 1206 3421 750 1073 1221 2947 1372 1234 2194 1129 2968
1112,318 593 2355 296 1196 480 2959 1704 2716 3793 377 590 2078 3408 1393 2617 2700 551 1035 3753 1240 1968 2324 1370 3175
4647,1252 296 1193 1673 3418 1094 1208 3362 1222 1288 2858 3386 21 1230 593 1674 1263 3504 2915 1249 1233 3763 3526 2890 2248
1943,223 1288 1394 3253 1060 1 1079 111 235 1500 457 2706 2683 3608 1625 2692 1206 3424 367 919 588 858 3175 2723 3255
1130,260 3578 2762 1036 1291 608 2571 1193 296 1617 2997 1225 2716 1304 50 919 1208 1954 1213 1259 2194 1090 1200 1214 1234
5269,608 2858 318 1394 527 1136 223 1732 541 1252 1079 2791 2692 1206 32 1225 923 2918 293 1968 2700 1199 1080 750 1090
2885,1517 2918 356 2791 2395 1641 2355 1270 1136 3255 1197 1777 2959 1394 2762 2804 357 3671 597 3361 34 1288 1073 1747 1278
3163,39 2987 2174 541 1198 1704 1968 357 318 2968 1089 2959 1270 110 551 1136 1214 1240 1258 2005 150 3448 1215 337 2028
