user_id,prediction
850,1214 923 111 924 904 3471 260 913 1208 1304 3363 541 2529 3421 1080 2289 2997 1953 2959 2599 2710 1250 1407 1954 3671
2012,2174 2081 1282 780 2105 1240 316 1356 2080 551 1375 2355 2640 1527 2916 1220 1372 648 110 2985 3671 1036 788 1394 1079
1511,260 541 110 1193 608 590 1247 1200 923 593 589 1097 908 1233 318 3471 1282 111 1213 1234 296 1219 1206 1222 2762
5846,858 527 1221 296 1617 2762 1213 1208 750 924 1247 2028 1206 2396 908 1214 1225 2959 1089 1198 1358 3471 969 3578 904
4344,1219 1387 924 1080 2289 2455 1673 919 1267 1953 1250 1215 2003 2716 1266 2288 1073 70 1961 1965 1960 1234 1244 2019 1962
5570,1270 1 2406 2000 1136 2028 2797 1259 2396 593 2353 1079 2804 50 1617 1917 2762 588 1722 2858 1278 2001 736 590 329
2507,923 1196 1079 1394 2987 903 541 1225 2289 1220 588 1267 595 1673 1073 300 1207 1230 1682 1252 2064 2571 32 924 1962
5903,1196 110 1198 2762 733 1240 1617 648 1573 3578 356 1200 1291 3175 593 1608 590 1370 3793 316 3256 318 1036 50 32
554,3408 2997 2710 2599 3623 2396 3793 3081 2987 2395 1127 2355 858 2028 3897 1221 3175 110 3147 3481 260 1210 3755 3114 1090
202,2762 1923 457 2571 1784 377 3147 1393 380 527 780 1721 1036 223 2000 587 3499 2353 1407 648 595 500 3114 3809 2804
4387,1 1198 2100 2396 2174 17 1219 1997 1721 539 1393 590 2020 2628 527 3396 1101 2003 592 1207 1333 2406 1278 3081 318
1820,2571 260 608 1270 480 1089 924 2791 1198 2028 1213 3527 1136 110 3421 527 750 2529 1394 1358 47 1097 377 1517 3578
5082,912 923 1197 913 969 260 908 750 919 2289 1198 1252 111 1094 1193 1250 541 2959 1183 1394 2700 1079 924 858 3072
3827,589 1580 608 47 2353 733 1089 1356 1653 1240 541 1358 527 1266 356 1544 1200 1213 2268 2617 2763 1210 2890 1252 1127
5854,3499 1214 1917 733 380 1370 457 3081 2628 349 356 1748 2006 3147 539 608 474 329 1721 788 1265 1240 2763 597 3175
38,597 356 920 2858 1265 912 1094 11 1307 919 2081 2291 1028 1097 595 3418 3176 1101 2324 527 2100 1197 1408 736 1784
1985,260 1200 1376 3471 457 1372 1573 110 3702 1917 1270 1653 2105 1876 1608 1909 2762 10 2011 592 1320 1954 1748 1199 1552
1392,1196 1387 1304 480 2571 1097 1291 1201 296 750 1374 1953 1233 50 969 1704 2268 3147 1276 2947 1225 3527 1266 1358 920
4626,1036 318 1307 1784 1704 1210 1358 2268 1625 1394 1517 150 293 357 1370 1653 110 2391 587 474 1266 648 1608 1682 440
425,1270 2918 1079 608 527 1968 1784 1213 590 1196 2804 2716 2302 1961 1617 457 1197 3253 3210 2797 1307 3255 34 1222 2858
216,1294 3421 1234 3471 2302 1221 260 750 924 1252 1262 1084 919 111 2174 1213 1387 1 110 1287 1231 904 2124 2011 2150
2857,2571 3256 1219 1129 316 253 2455 2058 1876 1221 1690 1408 2000 50 1210 3578 2002 3082 2003 527 2160 2871 1333 2023 1356
3701,260 110 589 2571 318 1580 593 1240 2916 1097 1270 1356 3114 1704 3793 2355 2858 356 1197 1127 858 1242 3147 2716 3175
548,2762 1258 2959 2997 1219 2455 260 3623 3753 2617 3176 2599 1278 593 1198 2657 3147 2028 2699 1544 1127 2628 2683 551 1580
889,2396 1247 1225 34 1230 1207 1199 2019 1953 357 1293 2395 1272 1219 2664 2762 2064 2858 300 2067 480 1356 1203 1584 2699
3517,2716 1394 1079 1307 1197 2174 1517 2706 223 2804 3448 1259 1265 2683 1196 2000 2700 1097 3033 1090 1198 1 2100 3671 2406
5815,260 2628 1584 858 1356 1527 2529 908 3702 780 2762 111 1127 608 3175 1617 1376 904 2985 593 1909 1208 316 50 2858
591,1617 296 260 1221 908 1097 904 1704 919 590 1207 1198 589 920 750 1214 1961 150 1089 1393 2396 3147 1206 1266 1265
5595,1240 1580 1127 110 3527 1387 2985 3793 2529 1036 2640 316 3702 3175 3703 2716 592 1222 2000 2455 1573 2617 1584 1320 2959
2941,260 2396 1 1127 595 1584 32 780 1270 1073 1653 1372 316 2100 1617 903 357 1909 1198 1035 2407 2054 3527 539 1183
4728,1214 1240 356 2028 592 480 2000 1036 1258 457 2640 2174 3471 223 2628 21 527 3108 2406 1090 2268 2194 367 2706 2762
4117,2762 2028 6 733 1240 110 780 1127 2706 1552 1036 2997 1210 223 1584 1200 1213 1356 3147 474 2700 1544 2692 1909 3175
4153,733 1608 316 110 2617 2028 2012 2762 1356 1721 587 1527 2916 1676 3175 788 2396 318 3753 367 3578 527 11 1210 1784
5226,1196 110 1214 1221 2028 3578 457 2916 1291 1374 3527 2529 1220 1197 592 1127 3703 349 2628 2640 2001 2115 1370 3793 733
4345,2918 357 1270 597 2248 3072 2080 1674 2791 34 2671 364 1721 2243 11 440 1641 1183 2302 908 3396 904 2108 1198 3471
3539,1197 2571 32 1285 2987 1377 1380 2100 2011 1215 2395 480 543 70 555 2124 1947 2657 539 337 2997 441 1258 1275 2006
500,2997 1 3481 919 3114 593 588 595 3793 260 551 1136 3578 858 3160 1259 1193 2804 2791 2355 1265 1196 1617 912 2291
3882,296 527 858 318 593 1094 2858 590 2890 34 3176 47 1183 2291 2959 1682 1222 1193 111 1266 32 1090 3753 3255 2324
2738,318 590 110 2858 1784 1721 1393 608 593 1358 3160 1584 2396 2959 1961 1193 356 1225 1641 1266 1265 480 3408 364 3897
3518,2396 357 2918 1197 1094 1393 1673 527 296 3160 2336 1961 2174 2289 1225 1288 2321 3526 32 2959 2100 2671 1060 150 2804
2947,2858 50 1213 2396 1617 318 2289 2324 2692 1288 223 34 111 858 1193 2791 1673 3160 1094 1 293 25 2762 1517 1358
4502,1193 1090 1225 593 1250 260 750 1252 2762 2028 913 908 1276 50 903 2987 2268 3363 3448 1242 1294 1089 1198 3421 1968
156,2396 357 1265 1721 587 39 2762 920 440 912 1094 1784 1641 2355 736 593 2706 34 1408 2028 608 2321 1674 3418 590
4675,1265 589 2997 39 541 1240 2916 1200 235 223 2289 2700 2395 3175 3108 1097 1270 1527 1748 356 293 1 2599 1199 2959
673,2324 2997 2028 3897 1213 1221 3006 3408 32 25 1682 1358 1196 2599 150 1784 1097 111 2571 2396 1230 2692 1641 1747 1207
5136,2028 150 2916 590 110 2628 1197 1 1721 457 260 1356 527 1610 2268 2762 1517 593 377 1653 296 3253 3448 2011 1266
5335,2858 608 318 2028 296 1197 527 2396 1136 1270 50 1 1394 1193 1387 1259 1036 2762 2918 1079 1610 1704 3421 1240 1304
2747,2396 2791 34 1394 3114 2804 3751 1307 1968 1517 2321 1073 223 3421 357 919 1198 3253 3897 2289 356 1080 260 3108 235
5054,1214 1196 919 903 1247 2571 910 1094 1225 1207 1035 590 3363 2291 953 300 1282 235 1394 1084 2791 1704 1374 902 1994
1624,2571 3578 1240 1527 2529 858 2640 1221 3703 1198 377 1573 2997 1356 1544 10 3082 592 750 110 1917 380 2001 1722 2959
1285,3471 235 2791 1278 1954 337 1294 300 2352 1997 1080 1077 1259 778 1036 3362 1266 2291 1263 3361 1186 3543 1962 3210 1732
3648,2571 1517 318 3793 2916 1923 2502 1552 316 2700 1097 1968 2694 3033 3052 1777 2918 1610 736 10 1089 2490 1291 349 1722
1333,858 750 924 1200 2916 1214 1208 1267 1294 589 457 1266 2028 2944 1276 3471 780 293 1136 2871 1084 919 1193 2000 1220
2599,1374 480 541 1580 924 1291 919 2657 1372 2028 3175 1748 1653 316 1129 1909 595 2011 1222 364 750 592 1028 1136 593
1996,1580 1610 1221 1197 1387 1214 1270 1200 527 2115 1220 733 2194 780 1097 2001 296 608 2918 2640 356 2804 2353 2985 1294
3290,2762 3578 223 2599 2770 2395 3160 2396 3753 3175 858 1221 1210 1196 589 260 1222 110 1214 1240 2028 3052 3114 1200 1673
3313,318 1197 1214 541 858 3751 32 2396 1394 750 588 2947 1073 1221 1259 3421 1079 1206 1234 2194 1372 2599 1288 1242 2455
1112,318 593 296 2355 1704 2959 480 2716 3793 1196 1393 590 377 3408 1035 2078 2324 2700 551 1968 2617 3753 1784 1370 1673
4647,296 1673 2858 1208 1222 1252 1193 3386 3362 1094 1288 3418 3504 1263 21 593 1230 3608 3763 2890 2915 1674 2791 1249 529
1943,223 3253 1394 1288 1060 1 457 1500 1079 111 2706 1206 3608 235 377 1625 588 2683 3793 2692 3578 3424 1307 141 1343
1130,260 3578 2762 1036 1193 919 1225 2571 2997 1954 1304 1291 608 1234 2194 3421 1214 1207 296 1097 1213 2716 2791 1090 1200
5269,2858 608 318 1394 1732 1136 527 1206 2791 2692 541 3897 223 1079 32 293 1252 923 1968 1500 2918 2571 1199 1225 2700
2885,1517 2791 356 2918 2395 1136 1270 1641 1394 1777 3255 2355 2762 2959 2804 3671 597 357 3361 2000 1197 1288 587 34 1278
3163,39 594 1968 1089 2174 1136 551 1704 541 318 2959 2657 1240 1258 1517 1214 357 337 2599 1270 1060 858 2985 2987 3527
4497,1387 1196 2455 1193 924 593 1222 1225 2987 1206 3703 913 2529 912 908 3702 903 1247 3176 1208 3499 1374 904 750 1036
3299,1196 318 1704 2324 541 1193 2571 1198 2599 1213 17 2395 3481 593 1961 1199 3108 3897 34 589 1247 1240 1246 1214 1358
3677,2762 2710 589 480 733 110 1036 1089 2571 1573 3256 474 2028 380 2699 349 608 3176 1544 3578 904 1617 648 1674 1358
1181,1208 969 480 1580 2959 750 3504 1945 1210 1212 1247 1732 1610 1377 1104 1256 1266 3175 2617 3363 1234 3362 1917 2871 110
991,920 1247 2858 357 1183 597 1225 1265 919 2997 913 1721 356 34 1028 1210 1968 1961 608 11 377 527 1252 3418 1259
10,260 1073 2628 2987 2080 34 1197 356 1356 2355 3033 3421 3671 1206 1968 2657 1682 1207 1193 2529 1380 3448 3253 1246 32
4729,527 1704 1393 296 593 1784 34 1183 1721 110 2291 2336 25 1213 3108 2997 36 3147 1682 440 1961 1580 587 1923 2355
5990,858 1193 2791 3421 1270 2858 1198 1230 2000 2716 923 3361 908 2174 912 3671 2797 1954 1090 1208 2406 3552 1387 919 1210
4521,2571 1214 1097 589 2858 924 318 750 608 1127 1193 912 1225 2396 1356 296 2028 1199 780 1617 1221 2529 1376 923 3702
2173,318 1704 110 1208 1094 1213 593 260 1246 1183 1097 1250 36 2268 3448 1222 111 923 2858 1393 2716 1079 1247 2762 3418
1367,1580 260 1200 1214 2396 3253 2716 2302 539 440 2012 1136 1079 2797 1527 1641 3255 1206 2174 2968 1968 1394 1127 3421 597
4510,913 912 904 1617 1201 2871 1204 1333 1 592 2762 3448 2000 910 2617 1213 2947 1193 1269 1276 2174 3753 2470 2054 2949
839,1213 2959 1704 1222 293 3578 527 1206 1225 111 858 1394 750 300 1285 2194 1500 1584 1246 2248 34 2908 2762 3006 588
3610,2706 589 1 356 780 2918 2353 2791 1552 1722 1777 2028 592 2716 1544 3809 2006 349 3082 2321 2167 3255 1954 3114 3753
4959,110 1097 1704 1242 1 1270 1225 1222 589 1240 1682 588 1393 34 1374 592 2268 364 1968 3448 1721 2916 1208 1250 919
4811,912 923 2858 111 913 1193 1230 1247 858 904 969 1208 924 260 608 1213 920 1196 1219 1225 1617 2628 527 919 480
355,2762 3793 589 2959 2706 2683 3175 3623 595 1923 3114 32 2916 1584 1198 457 593 2012 1097 316 1215 1704 1136 2699 1676
3705,3363 858 2289 235 3361 1952 1225 1961 1136 1213 2915 3255 1673 1387 1080 1747 1179 2174 1263 39 608 3386 1204 750 1517
3013,1028 260 588 1270 1097 2080 1580 3471 920 3114 3671 3421 3175 11 2302 1641 2355 2407 1247 2054 527 1207 318 1517 590
656,1247 908 318 2858 920 1196 1136 750 2762 924 34 1208 296 1278 1294 1265 3363 1304 1210 2804 2028 1213 1307 50 2324
3726,2571 589 1270 1374 3793 2174 2700 1676 541 1036 2105 3578 356 1073 1584 3481 2968 1370 367 368 39 1909 2028 1259 1307
3475,1617 1193 1208 457 1089 2396 1674 1270 3147 2918 2797 1094 597 39 3253 36 3386 3255 293 778 1387 2020 1258 300 529
4411,1210 1097 1580 2916 2987 2640 1225 2081 1374 1247 1028 595 2028 364 1101 1961 1 1954 1127 1387 1393 1947 1136 920 2080
4122,1089 1304 2302 1394 2916 260 110 1220 2289 480 2000 318 1912 1252 32 1206 3175 1198 1240 1201 593 2324 2108 1370 3897
593,318 2028 296 2324 1213 150 3160 1358 34 2291 3147 110 1682 1193 2396 3897 1784 2997 1393 2762 2268 1617 3578 2890 1584
4508,1215 1278 1732 1214 1199 3671 1994 1339 1285 2657 592 1517 353 1090 1196 858 441 3476 2019 2160 1148 924 1690 1127 2871
2794,2858 527 318 2997 1617 1198 3114 2959 912 110 1210 3751 2706 3147 2683 150 858 1193 3175 457 3623 2324 223 1 3753
5712,1210 589 1214 110 1387 1198 2916 858 1036 3702 3703 780 1222 2628 1376 377 3793 21 1242 2001 1527 1370 2115 2406 1372
