user_id,prediction
850,132 2249 1430 1453 2766 3796 3392 3816 1464 2366 2977 3952 3247 947 363 1887 3463 1246 3118 405 2871 3398 667 1321 2255
2012,2292 1246 3629 2501 2631 2495 3247 2366 2053 2094 947 3434 455 2082 1608 2125 3238 1486 1348 2083 2836 435 1887 2523 1471
1511,2366 1608 1897 2125 2292 2631 2249 1594 2871 2766 3796 3247 3816 1887 2931 3151 2094 3683 3171 1825 3629 1849 3678 3392 132
5846,132 2366 1887 3683 3678 2631 1246 2292 2871 2977 1430 1453 2125 3434 1608 2931 3151 1118 3118 3171 1129 1348 3614 3669 3629
4344,132 1608 182 2721 2631 186 1348 1246 1594 1887 188 1392 2366 3796 2766 1334 3151 2292 3816 1997 185 547 3171 1343 1988
5570,2631 1392 1608 3683 2366 1246 3952 1997 1348 1988 3678 1594 2766 1665 1887 2292 1334 2721 2094 2901 3796 1343 3629 1684 2344
2507,2366 1608 2871 132 1594 2249 2721 1897 1887 2766 2292 2631 2931 182 3118 2125 3796 1430 1453 1246 3392 667 3816 3151 2094
5903,3247 3238 487 2249 491 2366 2501 3629 468 159 2094 2631 3796 488 2495 2977 947 2292 3816 2125 3434 2766 2474 1897 1348
554,1246 3952 1665 1392 2292 1608 1684 1672 2721 1348 2631 1334 2901 3214 2053 2094 2523 1343 1594 2871 1997 3629 3698 1988 3710
202,3952 1392 1348 2053 1334 3683 1343 2631 2344 3384 2082 3678 2501 2901 3629 3759 455 2083 2495 1246 363 3796 2766 2346 3362
4387,3247 2249 1608 1246 3238 2094 2366 2766 3214 1594 3151 2501 3171 3796 947 159 2292 3816 3434 3879 132 2977 2495 2631 487
1820,3683 3678 2125 3669 1348 3952 1334 1392 2871 2366 1343 3629 3118 638 657 1887 2631 2977 363 2798 3392 1246 2053 2795 2605
5082,3683 2366 3678 2125 2631 2977 3629 3669 1348 2956 1825 1334 487 159 1849 1887 2249 1343 3796 3816 3247 491 1486 2292 363
3827,1246 1997 2631 1988 1608 2094 2366 132 2901 3683 2004 1392 3392 3013 3678 3952 1594 2344 2902 2766 1825 1887 3879 3151 1849
5854,3247 2249 1608 1897 2292 316 3238 2094 3214 1594 2366 667 908 918 947 666 2125 2766 911 2871 487 3796 3816 1997 909
38,2125 2249 3952 2871 3247 487 3214 1897 1348 2366 3796 363 2977 2605 2292 947 3816 491 1334 2798 3118 3434 2766 3238 1343
1985,2474 2366 1608 1392 2721 1897 3151 547 1887 3171 1594 2605 3434 638 657 182 2292 3683 1348 2631 3796 2600 1175 1825 593
1392,2871 2292 2366 1246 1608 2631 2501 2094 2495 2125 3629 3247 132 829 3118 2249 947 1887 861 1897 2931 1753 1594 2721 455
4626,1608 2366 2766 3952 2249 3392 2631 132 1594 3796 2094 667 1997 1246 1392 1887 1988 3816 182 3118 666 3151 3247 2901 1825
425,132 2249 2977 3392 1430 2766 1453 3463 3683 3796 2956 3816 3678 2344 3398 1825 1464 363 1849 2366 2346 1887 487 2631 3669
216,2249 2631 2255 2366 3759 3247 3796 2766 2501 667 3816 3787 947 455 2495 132 666 3770 3952 363 2094 262 3238 435 1887
2857,1608 2871 1246 2366 1594 2292 1897 2721 2125 3118 2631 2094 3952 1887 2931 3683 1392 1997 1988 3678 1665 3879 3099 3151 3392
3701,1608 1246 3151 1594 3171 3247 182 2249 3214 547 2366 2766 2094 1997 2292 132 2721 186 1988 3879 3796 1094 2474 1321 3816
548,1246 132 1997 1988 3214 3392 3683 1608 3151 3678 2004 3171 2366 2094 2631 1825 2125 1348 316 3398 1849 2249 3952 2931 2292
889,3952 2125 2501 2495 2249 3629 2366 667 2871 947 2094 3759 3118 3247 666 829 3787 2053 861 455 2631 2766 1897 3770 50
3517,2366 2631 2125 2249 3629 3247 947 2292 2501 1887 3796 455 2495 2871 363 3816 3238 2255 2094 2977 435 1486 2766 1348 3683
5815,1608 1246 2721 2766 182 1594 132 186 1392 2344 188 3796 2631 3816 547 3247 2901 185 1997 2346 1988 2255 2094 1887 2902
591,3683 2366 3678 2631 132 3669 2125 3392 1887 2249 3796 2977 3519 1348 3816 1430 3463 1453 2766 3499 1825 3494 3629 363 1849
5595,2249 3247 132 1246 1608 1348 2292 3796 2094 2631 3816 455 2255 2501 3238 363 2766 3214 182 947 2366 1334 3335 405 1665
2941,2631 1608 2366 1997 1988 1594 3151 1825 547 3171 182 2474 3683 2766 1849 3247 2094 3796 1392 1887 2004 3678 3816 1246 1348
4728,2631 1246 1392 2366 1608 1887 132 2501 2094 2344 3683 2495 3576 2901 3614 3629 3247 3592 2053 3678 3434 3013 1594 2292 1563
4117,1246 1348 2631 2292 1334 1665 1343 1608 1392 1684 1672 3629 2053 2094 2501 2721 3434 2901 1997 3952 2366 1486 1988 2523 455
4153,3952 1246 2766 2721 2249 1608 3247 2255 3796 2871 3816 667 3118 2501 1094 2053 132 666 2495 1594 2366 1101 2094 3214 1076
5226,1246 132 2292 2631 2366 2094 1608 3629 1348 947 2977 3214 2871 2249 2931 455 3335 3247 3683 1010 1334 363 1997 1887 2125
4345,1246 132 3214 2249 1348 947 405 2977 2631 2053 2094 3335 455 363 1334 3759 2292 3331 2901 3247 3683 3952 1343 2082 2501
3539,2721 1246 2255 1608 2292 182 132 2501 3247 1665 1594 316 1753 186 2495 2094 2631 1684 3796 1672 188 2249 455 2766 3816
500,1608 1246 1594 2249 667 132 2094 2766 2721 182 2366 1997 2871 666 3952 1988 3214 186 3247 316 2931 1321 3151 3879 2292
3882,132 1887 2631 1392 3118 1430 1453 2255 2344 2366 3519 2766 3683 3796 2501 3499 2346 2249 3099 3494 3759 363 3816 2798 3678
2738,2094 1246 1608 2366 2631 3952 2501 1594 3247 2495 1997 1988 2901 3629 1563 947 159 2292 316 2249 2766 2902 3238 667 1583
3518,1392 1887 2366 2766 2631 3796 132 3816 1608 3247 1430 3118 2474 1453 2249 2344 2721 182 3614 3434 2255 2501 1094 3519 2346
2947,2366 2631 2249 3118 1887 2766 3247 2501 2495 3796 2125 3816 829 1430 1453 861 132 947 3952 3629 3238 1392 2094 667 3519
4502,2249 3247 2255 50 2871 667 3952 2721 2292 2798 53 2501 666 2795 3238 262 1897 2495 3796 2125 3816 1665 363 455 947
156,2125 2871 2366 3952 1348 3683 2292 3678 1897 1334 363 2249 3629 2798 1343 2631 3796 3118 1887 3816 947 1665 2795 638 657
4675,1246 1348 1334 132 1343 1665 2292 3683 1608 3214 2631 3434 1684 2721 1392 1672 3678 363 3151 2053 1887 1285 3171 2366 2931
