user_id,prediction
850,"260  527 2028  318  296  593   50  110 2997 2396 1197  589  541  924
 1213  923 1210    1 1214 1270  356 2324 1265 3578 1097"
2012,"2762 2028  110  318 2858 1214 1220   50  296  593 1240  608  527 1036
  858   32 1617 2997 1221 1307 3147 1213 2959 3471  293"
1511,"1193  608 1230 2396  923 2997  908 1234 2858 1247  296 1206  593   50
  541 1213 2762  111 1136 1219  260 1233 1079 2599  318"
5846,"858  527 2762  750 2396  296 2028 1221  924 1198 2571 1225 1617 1196
  110 1213  908 1234 1247 1206 1197  589 2324  904 1265"
4344,"919 1204 1267  924 1234 1244  969 1219 1233 1304 2599  593 1235 2289
 2019 1250 1673 3114 1953 1299  745 1387 1269 1148 1961"
5570,"2762 2028 2858    1   50  593 1270 2997 1136 1221 1617 3578 1193 2396
 2804   32 1222 2959 3147 2324  750 1089 1259   47 1225"
2507,"527 1230 1252 1267  924  923 1225 1206  903 2858 1219 1233 3504 1079
 1213  541 1207   34 2289 1276  920 2324 1673 1265 1394"
5903,"2762 1196 1198  318 2858  110 1197  858  296  608  593   50 1214 1270
 2997  356 1221 1136 1193 1617  541 1220 1240 1291 2396"
554,"260 1196 2028 1198  318 2571  110  858  527 1197  608  296  589   50
    1 2997 1210 1214 1221 1136 1270 2396 1617  541  356"
202,"2762 2571 1197 1214   50  527 1240  858 1036 1200 2997 1221  541 1923
 2804  457 3147 1262 1213 1073 1089 2324 1259  293 3671"
4387,"527  608 1193  318 1198 2571  750 2997 2396 1136  541  589 1213 1230
 1204 1252 1234    1 1214 1219  111 1304 1267 1208 3578"
1820,"260  527  608 2028 1198 2571  750  110 1197  924 1136  923 1213 1225
 1230 1204 1234 1247 1270 2324 1267  904 3578   34 1394"
5082,"858  912  527  919 1193  750  608  260  924  296 1252 2762  923 1221
  593  908   50 1234  318  541 1617 2028 1213 1198  111"
3827,"1196 1198 1197  589    1 1214 1210 1220  356  527  608 1291 1240  858
 1097 1036 3578 1136 1200 2997 1221 2918  541 1222 2804"
5854,"2028 2858 1196 1198  318  858  527  608 1197  296 1193 2997 1221  912
    1 1136 1210 1214  541  750 1270 1213  356  919  924"
38,"858  260  527  608  912 2762 1193 2858  919  750 2997  318 2028  593
 1221 1198   50  924 2571  923 1230 1196 1136 1252  541"
1985,"260 2762  318 2858  110  527  608  296  593   50    1 2997 1193 1221
 1136 1270 2396  356 1617  912 1213 1220 1200 2804 1307"
1392,"1196 2571 2858 1197  296   50    1 2997 1136 1291 2396 1097 2804 1307
  750  480   32 1387 2324 1923 2959 1265 3147 1704 1225"
4626,"1198  318  110  858 1210 1221 1193 1220 3578  912 1036 2804 1307 1222
 2959  924 1704 3147 1394  923  919 1206 1294 1219  904"
425,"260  527 2762  608 2858  912  750  919 2396 2997 2571 1196  924  541
 1617 1197 1213 1230 1225 1252  908 1206 1247 1219 1210"
216,"919  750  924  260 1252 1221   50 1234 1617 1213  111 1244 1233  904
  110 2599 1197 2289 1947 1387 3471 2959 3578 3421 1307"
2857,"260 2571 2858    1  527 1210   50 1270 2997 1136 1221 3578 2396 2804
 2918 1307 1923 2959 2324  912  750 1265 1704 1394 2791"
3701,"260 2571  318  110 1197 2858  589  296   50  593 1270  608  858  356
 1220 1240 1097 1221 1036 1617 2918 2804   32 1222 1307"
548,"260 2762 2028 1196 1198  318  527  608  296 1197  593   50 1193 2997
 1221  912 2396 1136    1  750 1210 1617  541 1270 1213"
889,"2396 1230 2858 1221 1225 1247 2762   50 1219 1207   34 1199 1198 2019
 1947  110 1704 1673 1387 1293 1148 1307 1089  745 1953"
