user_id,prediction
850,260 2028 318 110 593 527 2396 50 1210 356 924 1197 1 3114 296 589 2997 3578 457 1036 1214 1213 1222 541 1148
2012,2858 2028 318 2762 110 858 608 593 527 2396 50 1617 296 912 1193 2997 1221 1240 1213 1214 750 1036 2324 1704 1233
1511,2858 260 2762 318 110 593 608 2396 50 356 1197 1 296 3114 589 1193 2997 3578 1200 1213 1036 541 1136 1222 590
5846,1196 2571 2028 2762 1198 858 110 527 2396 1210 1617 356 1197 924 296 1 589 3114 1221 3578 1240 1200 1213 1214 750
4344,1234 919 2692 1374 2716 2987 1073 2599 3481 1923 2000 1267 1387 3160 1080 1961 3578 2289 1204 1219 1953 1242 1500 1250 21
5570,2858 2028 1617 50 2762 593 2396 924 1221 2997 1193 3578 1 750 3114 1136 2324 1222 590 1148 2959 1208 1233 1089 1259
2507,541 1220 480 32 1374 1206 2064 2987 2628 1213 1073 1267 2289 1923 2692 1394 1641 2716 1253 1079 1276 21 293 1653 1215
5903,2858 1196 2762 318 1198 110 858 593 608 2396 50 356 1617 924 1197 919 296 3114 1193 2997 3578 1221 1240 1200 1213
554,1196 2571 2028 260 318 110 1198 527 858 2396 608 50 356 1210 1 924 912 1197 3114 1617 919 589 296 2997 1240
202,858 2571 50 541 1197 1221 527 1213 2997 924 1240 2762 1214 750 1200 2324 912 3114 1036 1089 1259 457 2804 1148 1206
4387,2571 1198 608 318 527 2396 541 589 2997 1193 1213 1 3578 1214 1200 750 3114 1136 457 1036 1704 1222 590 1208 1089
1820,260 2571 608 1198 2028 527 110 1197 924 1213 3578 750 1136 2324 1097 1148 1089 1270 1259 1233 2804 1225 2791 923 1090
5082,260 2571 2028 2762 318 1198 110 858 593 527 608 50 356 1617 1197 924 1 919 912 296 3114 589 1193 3578 1221
3827,1196 1198 858 608 527 2396 1210 356 1197 924 919 1 912 589 3114 1193 2997 1221 3578 1240 1200 1213 1214 541 750
5854,1196 2858 2028 318 1198 858 527 608 1210 356 1197 924 919 296 1 912 3114 1193 2997 1221 3578 1240 1200 1213 1214
38,2858 1196 2028 2762 2571 110 318 260 1198 593 527 858 608 356 50 1210 1 924 912 3114 1197 1617 919 589 1193
1985,2858 260 2762 318 110 593 527 608 2396 50 356 1617 1 912 919 296 3114 1193 2997 1221 1200 457 1213 1136 1222
1392,1196 2858 2571 2396 50 1197 296 1 2997 3114 750 1136 1387 2324 1148 1704 1233 1265 2959 1097 1089 1304 2804 1259 1207
4626,858 1198 318 919 1210 1221 924 110 1193 3578 912 1704 2959 1036 1222 1148 2804 908 1206 1207 923 1219 1304 1278 1090
425,2858 1196 2571 2762 260 527 2396 608 1210 924 912 1197 3114 1617 919 3578 2997 1240 457 1214 1222 750 590 1213 1148
216,260 1617 50 110 919 1197 924 1221 1213 1 3578 750 1387 1148 2959 1233 1089 111 1252 1307 904 2692 1242 3147 1294
2857,2858 260 2571 527 2396 50 1210 1 912 3114 2997 1221 3578 750 1136 2324 1148 1704 1233 908 1265 2959 1304 1219 2804
3701,2858 260 2571 318 110 858 593 608 2396 50 356 1617 1197 924 296 589 3114 1193 1221 1240 1213 1036 750 1387 1222
548,1196 2028 2762 318 260 1198 593 527 2396 608 356 50 1210 1 924 912 1197 3114 1617 919 1193 296 2997 1240 1200
889,2858 1198 50 1221 2396 110 2762 1387 1704 1089 1036 457 1148 1225 1207 1610 1291 1219 1307 1230 34 1247 480 1258 3481
3517,1196 2571 2028 2762 260 318 1198 593 527 858 608 2396 50 924 1 1197 1617 912 3114 919 589 296 1193 2997 3578
5815,2858 260 2028 2762 318 110 1198 593 527 858 608 2396 50 356 1617 1197 1 919 3114 296 2997 457 1036 1213 1136
591,260 1198 2396 1 1197 1617 3114 919 589 296 2997 3578 1221 1214 750 1136 1387 590 1148 1704 2324 908 1265 2959 1097
5595,318 110 593 527 608 2396 50 356 1617 1 919 912 296 3114 1193 2997 1240 1213 1036 1136 1387 1222 590 1148 2324
2941,2858 260 2028 318 1198 110 858 608 527 2396 50 1617 296 1 1193 2997 1221 3578 1213 457 1136 1036 2324 1148 1610
4728,2028 527 2762 356 1240 1214 912 1 2324 3114 1036 457 1148 1259 2804 1233 1207 2791 923 1304 1090 111 1307 1250 903
4117,858 2028 527 2762 110 1210 919 1197 924 1221 2997 1213 1193 1240 912 1214 1 1200 750 1136 2324 1387 1036 1704 1222
4153,1196 2028 2762 318 110 260 1198 593 527 858 2396 608 50 1210 1 924 912 1197 1617 919 1193 296 3578 2997 1240
5226,1196 2028 318 110 593 527 608 2396 50 924 1 1197 1617 912 3114 919 296 1193 2997 3578 1221 457 1214 1213 750
4345,260 858 2858 1198 318 296 541 527 593 2028 1221 1213 2762 589 1240 1193 1214 3578 1200 3114 2959 1222 1270 1089 1148
3539,3435 32 1220 1234 3175 3471 480 1215 1248 1253 1179 3104 1945 2529 3334 2289 3481 2987 2395 1947 3504 1965 1084 1953 3424
500,1196 260 2028 1198 110 858 593 1210 1617 356 924 919 1 912 589 3114 1193 2997 1221 3578 1240 1200 1214 541 457
3882,2858 1196 2571 2762 260 318 1198 593 527 858 2396 356 1210 1 924 1197 912 3114 919 589 296 1193 2997 3578 1240
2738,2858 1196 2571 260 2762 318 110 1198 593 858 608 2396 50 1210 356 924 1197 1 912 919 3114 589 1193 2997 3578
3518,1196 858 1617 541 296 2571 1221 1213 1197 1214 2396 1240 527 924 750 1193 3578 1200 2028 2959 110 1206 2804 590 1222
2947,2858 1196 2028 2762 260 318 110 1198 858 2396 50 1210 1 924 912 3114 1617 919 589 1193 3578 1240 1221 1200 1036
4502,260 2571 2028 2762 1198 593 50 1210 356 1197 589 3114 1193 3578 457 750 1136 1148 1610 2324 1233 908 1265 1304 1089
156,1196 260 2571 2028 2762 318 1198 110 858 593 608 2396 50 1210 924 1197 912 919 296 589 1193 3578 1221 1240 1200
4675,1198 318 2028 2762 527 593 919 356 589 541 2997 1193 1213 1240 1 3578 1214 1200 3114 750 1136 1387 1036 1222 590
673,1196 2571 1198 1617 50 2028 919 2396 1210 1197 541 2762 1221 2997 1213 356 1240 912 1200 1 2324 3114 1387 1097 1036
5136,2858 260 2028 2762 858 110 527 593 2396 50 1197 924 919 296 1 912 1193 2997 1221 3114 3578 1213 1214 750 1136
5335,2858 318 608 2028 2762 50 527 2396 296 919 1197 924 356 541 1193 912 1240 1 3578 1214 1136 2324 1387 1036 1222
2747,260 858 1617 2571 541 1198 50 919 1221 2396 527 589 924 1240 1214 2028 1193 750 3578 110 2762 356 1200 1097 912
5054,1196 2571 527 356 919 1221 1193 3114 1214 2324 590 1704 1233 1089 2804 1207 1225 1090 2791 903 1247 3147 1204 1276 223
1624,2571 858 1198 318 608 2028 1617 527 593 110 2396 296 919 1197 356 1221 2997 1193 912 1240 1213 1 3578 3114 750
1285,1580 3471 1259 3435 1278 1617 1732 592 1080 2324 1253 1653 2791 780 2352 1287 1997 3361 953 1248 778 2542 1307 162 1954
3648,2571 858 318 527 1617 1197 924 1221 541 912 1213 750 1387 2324 1222 590 1148 1610 1097 1265 908 1233 1208 1089 1304
1333,1220 3471 2324 2692 919 1214 2716 2000 3481 1923 1276 750 858 1136 1079 2791 2997 2918 2959 2395 2797 1267 3160 1968 2916
