user_id,prediction
850,260 2028 110 593 318 1197 527 2396 50 1210 3114 1213 2997 541 356 296 1 2324 1208 923 1265 2959 2804 223 1270
2012,2858 2762 593 2028 110 858 318 608 527 2396 1617 50 750 1213 2997 296 1221 1193 1206 2324 1230 1204 1208 912 923
1511,2858 260 2762 110 593 318 1197 608 2396 50 1136 3114 1213 2997 356 296 541 1 1193 1206 1230 2324 923 1265 1219
5846,1198 1196 2762 2571 2028 110 858 1197 527 1210 1617 2396 750 3114 1213 296 1221 356 1387 1 1206 2324 1208 1200 1240
4344,1036 919 3578 924 593 2019 1073 1242 1233 969 2000 2987 1953 1304 1219 1387 1961 1673 3160 1262 1204 2692 745 1267 3481
5570,593 2028 2762 1617 1221 50 3578 2858 1252 1259 1206 1193 923 2324 1219 750 1204 2959 1136 111 2804 1270 590 1225 2997
2507,480 924 2571 1200 1196 1358 3147 1127 1073 1374 32 34 1653 1252 1267 3104 590 2987 380 377 2947 1242 2628 903 1233
5903,1198 1196 2858 2762 593 110 858 318 1197 608 2396 1617 50 750 1136 3114 1213 2997 541 296 1221 356 1387 1193 1206
554,1198 260 2028 110 318 1196 2396 858 527 1197 2571 608 356 50 3114 1136 750 1617 2997 1213 1210 296 1 1230 541
202,2571 1197 858 2762 541 1240 50 1221 1200 1214 527 1206 750 1213 1252 3114 1259 2997 2324 923 2804 1230 912 1036 1089
4387,2571 1198 608 318 541 1200 1214 527 1193 1252 3578 750 1213 1136 589 3114 2997 1204 1219 1 2396 1704 1036 1208 590
1820,260 2571 1198 1197 2028 608 110 3578 1259 527 750 1213 1136 2324 923 1204 1097 2804 1270 1291 1225 1089 904 1233 1230
5082,2762 1198 260 2028 110 318 593 858 2571 1197 527 608 50 1617 3114 750 356 1213 296 541 1 1221 1193 1387 2324
3827,1198 1196 858 1197 608 527 1210 2396 750 1136 3114 1213 541 2997 1221 356 1387 1 1193 1206 2324 1230 1208 923 912
5854,1198 1196 2858 2028 858 318 1197 608 527 1210 750 1136 3114 1213 2997 541 296 1221 356 1 1193 1206 2324 1230 1208
38,2858 2762 2028 110 1198 318 260 527 593 858 1196 356 1197 608 2571 3114 50 1136 750 2997 1213 1617 1210 1 1230
1985,2858 2762 260 110 593 318 527 2396 608 50 1617 3114 1136 1213 356 2997 296 1 1221 1193 1230 2324 1208 912 1265
1392,1196 2571 1197 2858 50 1387 750 1136 296 1259 3114 2997 2324 923 1204 1 2396 2959 2804 1704 1225 1097 1089 1291 223
4626,1198 1210 858 110 318 1221 919 3578 1206 1193 923 1036 1219 1204 2959 2804 111 1704 908 1222 904 1304 912 1358 223
425,2858 2762 260 1196 2396 527 1197 2571 608 3114 750 1617 2997 1213 1210 1230 541 1387 912 1206 2324 1208 1219 2959 2804
216,260 1197 110 1617 50 1221 750 1213 1387 1 1252 919 3578 2959 223 1089 1234 904 111 1233 1242 3421 2692 1307 1294
2857,2858 260 2571 527 2396 50 1210 3114 1136 750 2997 1 1221 1206 1230 2324 1204 912 923 1265 1219 2959 2804 223 1270
