user_id,prediction
850,1210 260 1214 589 356 541 527 2028 480 1097 110 2628 1270 1265 1580 2396 50 1197 2716 1222 780 1250 1307 457 296
2012,2028 527 1214 1240 110 2858 2762 2396 593 608 296 750 858 318 50 912 2997 1617 1307 1193 1036 1221 1213 1250 2174
1511,260 2858 589 2762 480 110 593 608 541 296 1265 2396 318 1197 1580 1270 356 2997 50 1097 2716 1200 1193 1610 3578
5846,1196 2028 1210 527 589 1198 2762 2571 110 480 296 1240 858 1214 2396 1265 1197 1580 1270 457 1617 3578 356 1097 1610
4344,969 1676 2100 2455 1262 1204 367 1374 1912 1356 1183 2288 1250 2890 1242 2692 1219 1387 1233 1299 1073 1960 3175 1215 1266
5570,2028 750 1270 2762 2396 50 2858 593 1222 1250 2797 1617 2997 1221 1193 1089 1136 3578 1090 1278 1079 924 1225 1242 32
2507,1200 2628 1408 920 1196 1262 3081 1206 1294 541 2140 2944 1374 1527 1127 2640 1912 1242 2890 1573 1183 2692 2288 1219 2664
5903,1196 2858 1198 2762 593 608 110 296 318 858 1240 2396 1214 1197 2997 541 1270 1617 1193 50 3578 2716 356 1221 1097
554,260 1196 2028 1198 527 589 608 318 296 2571 858 1210 110 480 2997 2396 1197 1265 1240 1580 1617 457 1214 1270 541
202,1200 750 1214 2571 541 1240 527 912 780 50 1197 2762 1127 1374 457 1036 2968 1090 969 3175 1089 858 1094 377 1356
4387,1200 1214 750 2571 589 541 527 2628 480 780 1198 2396 2174 1222 2916 457 608 1036 3175 1089 318 969 2968 1213 1278
1820,260 2571 2028 527 750 480 110 1097 1270 1198 2628 1197 608 2174 1250 2797 1213 1089 1136 1291 1090 1230 3578 1294 1242
5082,260 2028 527 1198 589 2762 593 2571 608 110 480 296 318 1240 858 1214 1197 1580 541 457 1617 50 1193 3578 356
3827,1196 1210 527 589 1198 1240 1214 608 541 1265 2396 858 1197 1580 2997 356 2716 1097 1193 1200 3578 1307 1221 750 1213
5854,1196 1210 2028 527 1214 1240 1198 541 2858 356 1270 1200 1265 608 1097 1197 296 750 858 318 457 912 2997 1307 1193
38,2858 1196 260 2028 593 2762 1198 608 527 318 589 858 2571 2997 110 480 1197 1265 1210 3578 1580 1617 1240 1193 1
1985,260 527 2858 110 2762 593 608 1265 296 2396 1270 356 318 1200 50 457 2716 2997 1617 1307 912 1193 1221 1213 1222
1392,1196 2571 480 750 1097 2858 1265 2396 1197 296 50 1307 2997 1387 2797 1136 1291 1089 1374 1225 1704 1079 1259 1304 1394
4626,1210 110 1198 912 2716 858 318 1307 1222 1250 1036 1193 1221 3578 1127 1374 3175 924 1704 1230 1278 1090 1294 1304 1394
425,260 1210 1196 2571 1214 527 1240 541 2762 1270 750 2858 2396 1197 608 912 2716 457 2628 1307 2997 1617 1222 1250 2174
216,260 750 2628 780 480 2968 2174 110 2916 1374 1127 1094 1387 1294 50 3471 1307 1242 1262 1408 2529 1197 1089 1527 1676
2857,1210 260 750 2571 527 912 1270 1265 50 2396 1250 2716 1307 2968 969 1094 1356 1230 1219 2858 1206 1221 1136 2997 1079
3701,260 2858 589 593 2571 608 110 296 318 858 1240 2396 1265 1197 1580 1270 1617 1193 50 2716 356 1221 1097 1307 1213
548,1196 260 2028 593 2762 1198 527 608 318 296 2997 1210 2396 1197 1265 1240 1580 1617 1193 457 1 1270 541 3114 919
889,2628 480 110 1387 50 1307 3527 1356 1219 1258 2396 1089 1584 1036 457 1912 1230 1198 1610 47 1291 2455 1573 1247 2762
3517,260 1196 2028 527 589 2571 1198 2762 593 480 1214 608 296 318 1265 858 2396 1197 1580 2997 457 50 1617 2716 1097
5815,260 2858 2028 1198 2762 527 593 608 110 296 318 858 2396 1265 1197 2997 1617 457 50 2716 1610 356 1 1307 919
591,260 589 1214 480 1198 1265 2396 1580 296 1197 1097 750 2716 2997 1617 1307 1221 3578 2628 1136 1387 2174 1704 1291 1089
5595,527 593 110 608 1240 296 318 1265 2396 1580 2997 1617 50 2716 356 1193 1307 1213 1036 1259 912 919 1136 1225 1704
2941,260 2028 527 110 1270 1198 1265 2396 50 296 608 2858 457 858 318 1610 780 1036 1617 2997 1127 1213 1221 1193 1089
4728,1214 356 2628 1240 912 527 480 2028 2174 1250 2968 1307 3471 1090 457 2762 1036 1258 1230 1262 1233 1247 1912 2640 3081
4117,1210 2028 527 1214 1240 110 2762 1200 1270 1265 1097 750 1197 858 2716 912 2997 1307 1222 1193 1036 1221 1250 1213 1387
4153,260 1196 2028 593 2762 1198 527 608 318 296 1210 858 110 2997 2396 1197 1240 1617 3578 1214 1193 1270 541 50 2716
5226,1196 2028 593 527 608 318 296 110 2396 2997 1197 1265 1214 1617 541 1270 457 3578 1193 50 2716 1221 1 919 1259
4345,260 1200 1214 541 2628 589 1240 527 2028 1270 1222 1198 2762 1127 1374 3471 2968 296 969 3175 1294 1089 1242 858 1208
3539,750 2100 2455 1094 912 1262 2662 1204 2664 3479 2872 2529 2067 1912 1019 1090 555 1376 2657 1256 151 3499 1299 1272 1258
500,260 1196 2028 593 1198 589 1210 858 110 480 2997 1265 1240 1580 1617 1214 3578 1193 1270 457 541 2716 1 1221 1610
3882,260 1196 1210 2858 527 589 1198 2762 2571 593 480 1240 296 1214 318 858 2396 1265 1197 541 1580 1270 2997 457 2716
2738,260 1196 2858 1198 593 2762 1210 589 2571 608 318 110 480 858 1240 2396 1265 1197 2997 1580 1214 541 1270 457 1193
3518,1196 1200 750 1214 541 2571 1240 527 780 110 2028 2174 1222 1250 2916 2396 1374 1127 1197 969 3471 1090 1294 457 3175
2947,260 1196 2028 1210 2858 589 1198 2762 110 480 1240 1214 318 858 2396 541 1580 1270 1617 50 2716 1193 3578 1097 1610
