user_id,prediction
850,593 527 2028 260 110 318 50 356 296 1210 1197 589 2997 2396 3578 1213 457 1 541 1270 480 1036 1265 3114 1214
2012,2858 2762 527 593 2028 110 318 858 50 608 296 2997 2396 1240 1221 1617 912 1213 1193 750 1036 1214 2324 1704 1225
1511,2858 593 318 110 2762 608 50 260 356 296 1197 589 2997 2396 3578 1213 1136 1 1193 541 1270 1200 480 1036 1265
5846,1653 1394 1721 1968 2599 2797 3793 2291 32 2174 3471 590 2959 2918 1374 592 223 3114 1784 1573 1225 1584 3481 1527 588
4344,1080 3897 1673 2321 1242 2692 1234 969 2890 1233 1219 1266 2289 36 1250 1148 1953 1204 3160 1073 1302 1036 2716 1 3578
5570,2194 1219 2700 111 1089 1247 2657 1517 1206 3147 2395 2529 1358 1208 1278 2324 1252 920 1641 47 3160 1090 1673 2321 923
2507,590 1207 1573 1396 1653 2692 2890 595 1183 3104 1682 1233 1394 3052 1408 1266 25 1374 2289 588 1639 3108 1215 293 36
5903,2692 1394 2599 2797 3793 2291 32 2174 3471 590 2959 2918 1374 3418 592 1304 1784 1073 1573 1225 3481 1923 2706 2406 1393
554,527 2028 2571 260 110 318 1198 1196 858 50 608 356 296 1210 1197 589 2997 2396 1240 1221 1617 912 1213 1136 457
202,2571 50 2762 1197 527 2997 858 1240 1221 912 1213 457 541 750 1200 1036 3114 1214 2324 924 1259 923 908 1206 1247
4387,480 1 750 1136 1036 1193 541 1200 3578 457 1213 318 2997 527 2396 1198 608 2571 589 3114 1214 1704 1219 1208 1304
1820,260 110 527 1197 1213 1136 750 3578 1198 608 1270 2571 2028 480 1097 2324 1291 924 1225 1259 923 1247 2804 1358 3421
5082,2890 1584 1721 1968 1704 2797 3793 2291 32 590 2959 1374 592 1394 1784 1573 3481 733 1527 588 1923 2706 2406 1393 1220
3827,527 1198 1196 858 608 356 1210 1197 589 2997 2396 3578 1240 1221 912 1213 1136 1 1193 541 750 1200 1387 1036 1265
5854,1101 2918 223 1394 1304 592 3418 1374 2959 1230 590 3471 2174 2291 3793 2797 1784 1225 3481 588 2706 2406 1393 1220 2804
38,2858 2762 527 593 2028 2571 260 110 318 1198 1196 858 50 608 356 1210 1197 589 2997 3578 1240 1221 1617 912 1213
1985,2858 593 2762 527 260 110 318 50 608 356 296 2997 2396 1221 1617 912 1213 1136 457 1 1193 1270 1200 1265 3114
1392,2858 1196 50 2571 296 1197 2997 2396 1136 1 750 1387 480 1265 3114 1097 2324 1291 1704 1225 1259 923 2804 1358 1304
4626,1210 1193 912 1198 110 858 318 1221 3578 1036 919 1704 924 923 1219 908 1206 2804 1358 1304 3421 2716 2959 1307 1394
425,2858 2762 527 2571 260 1196 608 1210 1197 2997 2396 3578 1240 1617 912 1213 457 541 1270 750 1387 3114 919 1214 2324
216,260 1387 480 110 1197 1617 1 3578 50 750 1221 1213 919 924 3421 2959 1252 1307 904 1089 111 3147 1234 3471 47
2857,2858 50 260 527 1210 2571 2997 2396 3578 1221 912 1136 1 1270 750 1265 3114 2324 1704 1225 1259 923 1219 908 1206
3701,2858 593 260 110 2571 318 858 50 608 356 296 1197 589 2396 1240 1221 1617 1213 1193 1270 750 1387 1036 1265 3114
548,2762 527 593 2028 260 318 1198 1196 50 608 356 296 1210 1197 2997 2396 1240 1221 1617 912 1213 1136 457 1 1193
889,2858 50 1704 1291 1036 1387 1221 1225 2396 110 2762 1198 480 457 1219 1247 1307 1089 1207 1230 1610 47 1258 1148 34
3517,2762 527 593 2028 2571 260 318 1198 1196 858 50 608 296 1197 589 2997 2396 3578 1221 1617 912 1213 457 1 1193
5815,2804 1356 590 2959 2918 3418 592 1304 1394 223 1784 1573 1225 1584 3481 1527 588 1617 1923 2706 2406 1393 39 1220 3702
591,260 1198 296 1197 589 2997 2396 3578 1221 1617 1136 1 750 1387 480 1265 3114 919 1214 1097 2324 1291 1704 908 1206
5595,551 2706 3408 3176 1079 2804 39 1393 1923 1394 588 3481 1584 1225 1573 1784 3751 1961 908 733 1230 1222 3527 1219 150
2941,2858 527 2028 260 110 318 1198 858 50 608 296 2997 2396 3578 1221 1617 1213 1136 457 1 1193 1270 1036 1265 2324
4728,1 457 2028 2762 912 527 356 1240 480 1036 3114 1214 2324 1259 923 2918 1247 2804 1304 2791 1307 1394 904 111 1207
4117,1210 527 858 2028 2997 2762 110 1197 1240 1221 912 1213 1136 1 1193 1270 750 1200 1387 1036 1265 919 1214 1097 2324
4153,2762 527 593 2028 260 110 318 1198 1196 858 50 608 296 1210 1197 2997 2396 3578 1240 1221 1617 912 1213 1136 1
5226,2692 2959 223 1394 592 3418 1374 2918 590 1073 3471 2174 32 2291 3793 2797 1784 1573 1225 1584 3481 1527 588 1923 2706
4345,2858 1193 1221 541 1200 3578 1240 296 318 1213 858 527 2762 1198 593 1270 589 2028 260 3114 1214 908 1208 1206 2918
3539,480 1079 1233 1244 539 1266 25 2289 1215 36 1276 1207 750 590 3006 1220 3499 1912 2706 3481 1225 1179 3210 3147 3176
500,593 2028 260 110 1198 1196 858 356 1210 589 2997 3578 1240 1221 1617 912 1136 457 1 1193 541 1270 750 1200 1387
3882,2858 2762 527 593 2571 260 318 1198 1196 858 356 296 1210 1197 589 2997 2396 3578 1240 912 1136 457 1 1193 541
2738,2858 2762 593 2571 260 110 318 1198 1196 858 50 608 356 1210 1197 589 2997 2396 3578 1240 1221 912 1136 457 1
3518,1196 296 750 1221 1193 541 1200 3578 457 1240 1213 858 2396 2571 110 2028 1197 1617 527 1214 924 1225 923 1219 908
2947,2858 2762 2028 260 110 318 1198 1196 858 50 1210 589 2396 3578 1240 1221 1617 912 1213 1 1193 541 1270 750 1200
4502,260 2762 2028 2571 593 1198 50 356 1210 1197 589 3578 1136 457 1193 750 480 1265 3114 2324 1291 1225 908 2918 2804
156,2762 593 2028 2571 260 110 318 1198 1196 858 50 608 296 1210 1197 589 2396 3578 1240 1221 912 1213 1136 457 1193
4675,2028 318 593 1198 2762 527 356 589 2997 3578 1240 1213 1136 1 1193 541 1270 750 1200 1387 1036 1265 3114 919 1214
673,1196 2396 1240 50 356 2997 1221 912 1617 1197 2762 1198 1213 2571 2028 1210 457 1 541 1270 1200 1387 1036 1265 3114
5136,1408 1230 592 1304 3481 39 1220 2804 750 3176 3408 3751 1073 908 733 1356 1222 1358 3527 1219 150 2700 111 1089 1247
5335,1230 2640 592 1304 1394 223 1784 1573 1584 1527 588 1923 2706 1393 39 1220 2396 1079 3176 3751 1961 1073 908 733 1356
2747,260 858 750 912 1387 1193 50 541 1200 3578 457 1240 356 1221 1617 2396 110 2762 1198 527 2571 2028 589 480 1036
5054,1094 1089 25 3552 1639 3108 1282 1215 293 2700 1276 6 1080 2248 1207 903 1199 235 1090 3527 21 1408 3052 2804 1247
1624,2028 2997 1136 1213 912 1221 1193 3578 1 1240 356 318 858 296 593 1270 527 1617 1197 2396 110 1198 2571 608 750
1285,357 3396 2352 2115 165 1954 2324 1278 3362 2020 3147 592 594 904 778 733 3751 300 1077 1275 1294 364 17 3543 1233
3648,2571 527 318 858 1197 1221 1617 912 1213 541 750 1387 1265 1097 2324 1291 924 1219 908 1208 1206 2918 1247 1358 1304
1333,1267 2918 3481 1923 2406 1393 1220 750 1079 3751 1961 1230 150 2700 1517 357 3147 2395 1208 2324 1954 3160 1294 364 2692
2599,2858 593 527 2762 50 2028 2997 2396 1221 1617 912 1213 1136 1193 541 750 480 1265 919 2324 1291 1704 924 1225 1219
1996,1270 296 3114 1213 912 1387 50 750 1200 1214 1221 356 1197 2997 2396 608 1617 527 1097 2324 1704 924 1225 923 1219
3290,2762 527 593 2028 260 110 318 1198 1196 858 50 356 296 1210 1197 589 2396 3578 1240 1221 1617 912 1213 1136 457
3313,2396 1197 858 318 1221 912 541 750 1214 1259 923 1206 1247 3421 1394 904 111 3147 1230 1234 1090 47 1258 1250 913
1112,1196 3363 750 1220 1233 3552 1784 1304 1276 1080 1207 1199 2959 590 3471 1035 1704 1079 908 1307 1222 1206 2395 1358 1208
4647,2858 1222 912 3114 590 2918 1374 1148 1230 1208 2791 2324 1252 920 1288 1233 1207 1250 1291 1968 1193 356 1196 260 1210
1943,1210 1307 590 1374 1304 223 1225 1079 1961 1222 1035 150 111 1206 1954 1288 3361 2692 1199 1276 969 913 3363 3471 1394
1130,260 1208 356 296 2716 1 1214 3578 1259 1200 50 1291 919 1358 1097 2791 1206 3421 2804 1923 1225 1394 1304 2959 1036
5269,551 750 590 2918 1374 3418 1394 223 1225 1584 1527 588 380 2406 1393 39 1079 2324 3408 3751 733 1356 3527 1219 150
2885,1196 608 1198 2762 1197 527 858 2571 318 356 296 2028 1240 1210 260 593 1221 1617 912 1213 1136 457 1193 541 1270
3163,480 1704 36 1080 1293 1136 1997 3006 3210 1953 1968 2355 1610 1204 1221 2352 1201 541 3114 1233 1267 1517 2174 2959 1923
4497,1196 912 1208 3114 2324 1136 47 1213 1304 1193 1036 923 1294 1610 2791 1387 1307 1206 3421 1247 1089 1222 1230 1704 908
3299,1196 318 1198 356 1240 593 1270 1 2571 457 541 1193 1387 589 912 480 1213 3114 750 1617 919 1214 2324 1291 1704
3677,2858 2762 527 2028 2571 260 110 318 1198 1196 858 608 296 1210 1197 589 2997 2396 3578 1240 1221 1617 912 1213 1136
1181,1210 593 318 110 750 480 1097 1704 1208 1247 2804 2716 1923 2959 1394 1089 1610 1234 1580 1266 1079 3897 1073 1961 2599
991,2858 2762 527 593 2028 2571 260 110 318 1198 1196 858 50 608 356 296 1210 589 2997 3578 1240 1221 1617 1213 1136
10,260 1610 1213 1222 1219 111 1089 3421 1206 3147 1358 1208 1252 47 1090 1294 1258 1036 908 1193 34 2028 593 608 1197
4729,527 593 2571 260 110 858 296 1197 589 2997 3578 1240 1221 912 1213 1136 457 1193 541 1270 750 1200 1387 1036 919
5990,3751 588 2291 32 2174 590 2959 1374 3418 592 1784 1573 1584 3481 1527 1923 2797 2406 1393 39 3408 1073 908 733 21
4521,2858 2571 1 1193 296 356 318 1221 1617 2396 608 912 750 589 1136 3114 2028 457 919 1214 1097 2324 1291 924 1225
2173,2858 1265 3578 457 1 1387 318 1213 50 750 1136 1200 2571 1197 110 260 2762 593 480 3114 919 1214 1097 2324 1704
1367,260 2396 3578 296 858 2997 527 50 110 2762 608 593 2028 1221 1617 1213 1136 457 1193 1200 1387 1036 3114 1214 2324
4510,2762 1617 912 1213 1 1193 541 1265 2324 1704 924 1206 1247 1923 904 1230 1148 223 913 1276 1204 3897 910 2000 1968
839,1210 1704 3552 293 1276 1250 2248 1213 1148 595 1246 2352 1201 912 2791 34 3363 969 3578 750 2959 2918 1304 1394 1225
3610,527 2028 608 356 589 2997 1617 1 1193 750 1200 1387 3114 1214 1097 2324 1704 924 1225 1219 908 1208 1206 2918 1247
4959,3897 1247 3408 3751 908 733 21 1230 1222 1219 2700 111 2000 1213 2657 1968 1517 357 3421 2640 1206 2985 3147 912 2791
