user_id,prediction
850,3667 2253 2316 2247 2447 1082 1245 176 711 3662 1276 1880 3130 1317 2950 860 2574 1694 1257 633 1702 486 778 1591 1852
2012,2316 2351 2950 3667 539 970 2986 1880 1245 2253 2349 778 509 3001 2497 2353 2994 711 3130 1003 176 2574 985 2247 991
1511,2574 1082 3667 176 380 2253 3525 3130 1245 711 2950 2247 2316 1276 2642 1191 1053 1063 2447 1076 3723 1317 1059 2709 3623
5846,539 540 542 3130 2574 2950 550 527 2351 711 3667 778 288 3525 2316 264 535 554 534 533 555 2667 1245 276 547
4344,2316 1276 3667 1082 1257 3435 486 1245 3449 2574 778 1662 380 3130 1880 2950 2253 493 509 1144 485 3835 2447 1113 2351
5570,711 2351 2316 176 55 1317 2950 3667 2574 38 539 823 2447 54 1005 2709 798 1191 814 801 3512 3130 2497 820 785
2507,3667 539 2950 2316 1477 1476 778 540 2574 3723 542 1475 711 2351 3130 3726 1880 3662 1245 550 527 3525 889 1350 1347
5903,2950 711 2574 3667 3130 1276 539 2316 2961 1317 1591 2955 1257 1916 1852 2973 1614 1589 1082 1662 540 1605 3623 1835 542
554,3130 2574 3667 2316 2950 778 711 1245 1276 1916 539 2253 596 3723 2247 2351 3525 2447 1257 1350 1347 288 1880 1082 970
202,539 778 2351 3667 3130 540 2574 55 542 2316 288 3659 176 264 1998 38 711 550 527 276 3658 1532 2349 1515 1477
4387,2574 1082 3130 176 3667 711 288 3525 264 1350 1347 380 1245 276 2447 2253 1191 281 263 2950 1076 278 1334 2558 2247
1820,3667 539 2351 176 2316 711 3662 540 542 2950 778 3130 1245 1817 2253 2403 1880 2574 2349 2353 2447 550 527 2247 2409
5082,2950 2574 1317 711 1082 2316 2253 176 1276 3667 2709 2247 380 3130 1191 1852 823 1257 798 3512 3424 814 801 1880 1662
3827,2253 3667 1276 2247 2316 2950 1245 1257 3130 1880 2574 711 1317 2447 2108 3723 176 3662 3525 2095 380 778 3308 1082 2089
5854,2316 3835 778 2574 1276 509 3667 486 3130 2447 3659 1082 380 1144 493 1947 218 1113 1245 1257 1998 485 3658 491 1477
38,711 2574 2351 2316 539 2950 3130 55 3667 176 38 596 1317 54 1916 970 2349 540 2353 2497 1191 778 36 566 542
1985,2950 2316 2574 823 711 3130 798 814 801 380 2709 820 785 1276 793 806 790 805 802 788 810 791 1662 800 807
1392,3667 176 778 2351 1477 2316 1476 3659 2574 1817 539 1475 55 509 1350 1347 3658 711 1947 3662 486 1082 3726 3130 1880
4626,2950 2574 3130 2316 711 3667 1245 539 778 3525 2253 380 2351 1276 1082 2247 1317 1880 2709 970 3723 288 176 1477 1191
425,2316 2351 1662 1916 2950 539 3667 2574 3435 1082 1665 3449 2349 486 2353 3576 970 1947 2063 176 1276 3559 711 1245 1694
216,2316 3667 2950 778 1276 1880 539 3662 711 2351 1817 2447 3130 633 2574 380 1245 1257 2304 509 176 3723 2253 655 1998
2857,3667 711 596 3130 2447 2316 2574 1317 176 1082 2253 2351 2247 55 566 2950 1916 1998 1245 1694 594 3835 778 3889 1276
3701,711 3667 2316 2950 1317 2447 2574 1082 3130 176 1880 3662 1276 1852 2709 1591 55 2253 2351 633 249 1614 380 234 1005
548,3667 2316 2950 711 2574 176 3130 2351 539 2253 1245 3525 2247 3512 2497 1317 1880 778 2447 2709 3509 2485 380 2642 2403
889,2316 486 2351 1662 1082 2574 1947 3435 493 3667 176 3449 485 509 491 1665 1053 1245 1063 473 1059 472 1276 3576 2950
3517,2316 2447 3130 3667 778 380 633 2574 1998 1276 1245 288 711 655 3835 55 264 1991 2950 2016 3308 276 1532 1515 3525
